"relatednessrel:morphTypeop:phonemicComprehension","relatednessrel:morphTypetr:phonemicComprehension","car::anova_pValue","nSbj","nDatapoints","converged"
-8.66367503775147,-3.56364657805262,3.57238949825808e-17,40,7330,1
-8.84879420462451,-4.79079805224438,2.98366634335312e-16,40,7188,1
-8.86849544352862,-3.72020490813903,2.27880814628697e-18,40,7242,1
-7.50292413982586,-4.23159910845147,3.91802852704096e-14,40,7082,1
-6.07053705228,-1.81925338660052,4.35369768953712e-09,40,7223,1
-5.98954928995917,-2.49560743253188,4.57562953299082e-07,40,6994,1
-4.36435482625777,-2.76452565260363,0.000104286337860924,40,7084,1
-8.89276707172392,-4.81403901461103,2.4887844685623e-19,40,7173,1
-8.5549800495136,-5.57223016718854,3.39016752632074e-13,40,7154,1
-7.41630415386111,-2.75523537118056,5.95854021210139e-12,40,7155,1
-3.14746081041828,-0.273499736039974,0.00466603025787466,40,7034,1
-7.55831088334073,-2.66861200529361,0.114495892095058,40,7021,0
-3.57445511151898,-0.438848722717561,0.00354731473563234,40,7107,1
-4.31748160817636,-1.32745408687967,8.03131359772328e-05,40,7165,1
-5.19844435606906,-2.40068926641818,1.12050775762397e-07,40,7229,1
-6.051712534168,-1.59803089902397,4.3475094806928e-07,40,7161,1
-5.14674230725036,-3.19667059377936,4.53183640018286e-07,40,7323,1
-8.50737004757368,-3.58823550508547,1.79259085012397e-15,40,7105,1
-4.25057290098011,0.119280532582955,0.000143872754401003,40,7296,1
-5.49686032907443,-1.86624712885435,1.73900655692981e-07,40,7149,1
-8.75853799280036,-3.43455324647877,6.56687059387691e-13,40,7221,1
-7.11824551034154,-3.3422483469578,1.28485200481536e-11,40,7149,1
-3.72114819462331,0.0754908978813465,0.000590643314504564,40,7162,1
-6.53371752453142,-2.55588283852541,1.50612312865036e-10,40,7103,1
-8.05179343636013,-2.4418096251561,6.34655841671399e-15,40,7114,1
-5.00830102370324,-2.70995216387693,2.2245452649336e-06,40,7157,0
-5.35127830412178,-4.5502481798041,5.62061528309368e-09,40,7184,1
-7.28920427404431,-5.05386850906991,5.36758181168509e-12,40,7206,1
-10.2708202843751,-5.08443200776735,1.44921650635786e-23,40,7166,1
-2.98627858918616,0.355398752272516,0.00540600852235507,40,7274,1
-4.72491431975542,-4.67035123969198,1.47749989826195e-07,40,7343,1
-3.90961201115383,-2.77536185253048,0.000206726820956844,40,7120,1
-6.30295725255256,-3.85528693787136,1.60866674210626e-07,40,7122,1
-2.09437520501807,-1.76593253349389,0.0566006004771383,40,7132,1
-6.57108708702665,-5.09315307301381,1.08424568753753e-12,40,7154,1
-6.66860288214876,-3.29109121994122,6.75949369292283e-10,40,7134,1
-3.81470784777234,-4.29788659666324,7.42459731099526e-07,40,7213,1
-6.8114705396206,-5.35259086082668,9.23534882492875e-13,40,7142,1
-6.0200722989958,-1.39276146949083,2.10218195068061e-09,40,7155,1
-3.75755997022101,-1.83332281762132,0.00441953486140003,40,7040,1
-8.40704512671693,-3.38339370016911,9.60354475751534e-18,40,7220,1
-7.50337988927613,-5.07290939697424,1.67790949364615e-15,40,7249,1
-2.21770132160246,-2.40743689893674,0.0151822275802215,40,7257,1
-7.93075771400792,-5.16566360246826,1.11197925862053e-15,40,7033,1
-4.46327203651339,-2.30179861903022,1.53835522776844e-05,40,7132,1
-2.90167319541863,-2.23097672178452,0.00676237931269792,40,7082,1
-5.72146320595312,-3.95348244486156,0.272909831860795,40,7103,0
-8.0816621564836,-5.74011805439321,1.20434014756329e-16,40,7074,1
-5.96390731322157,-4.41540153998047,9.44514044861906e-11,40,7157,1
-1.81726738674298,0.228545117198769,0.166246969160484,40,7210,1
-4.11763563365067,-0.428854171257896,0.442625095198002,40,7264,0
-6.84585331086858,-3.28285984709921,2.27352825219718e-11,40,6993,1
-3.82688081233301,-4.37602250479778,7.96293907259115e-07,40,7157,1
-3.48122149063182,-2.66495722436745,0.614358276157081,40,7080,0
-7.41235391771229,-1.60052012085254,8.92845845380477e-13,40,7128,1
-5.54331113127447,-2.5068700630543,3.82870270575988e-08,40,7119,1
-10.2218139062396,-5.33528141460676,2.61683046584561e-24,40,7160,1
-6.85789282151717,-3.59215497510692,1.09670882492881e-05,40,7193,1
-10.2187503274436,-4.28543502041214,7.98940389825606e-23,40,7179,1
-8.37681880002926,-4.87051414957333,2.34008747718168e-16,40,7035,1
-8.49653449468899,-5.21078529571694,3.43491581125458e-19,40,7038,1
-8.67910257708917,-3.89640930342754,5.51034491122364e-18,40,7260,1
-6.46058248738543,-0.987021625552245,2.02091734300914e-09,40,7203,1
-4.4460789656389,-3.71489186421601,2.74038559612739e-06,40,7071,1
-6.86616492724168,-2.55785700906767,3.30315777586246e-10,40,7126,1
-4.00210239599432,-0.853027978900712,0.000103096646237828,40,7058,1
-6.11597979407967,-3.16111743065485,0.203551713524999,40,7359,0
-6.37857286046281,-4.43009081848186,2.37120593372753e-09,40,7183,1
-6.23117241267198,-3.25848522101987,1.75252696681136e-09,40,7168,1
-5.67751587370195,-2.10188745816499,3.99278013158218e-07,40,7191,1
-3.15072360275684,-0.506774378501386,0.0034737195270051,40,7217,1
-5.58469472263721,-6.0544252040105,9.41089711773323e-13,40,7183,1
-5.23299831919149,-2.78698194145314,5.19295410616397e-07,40,7236,1
-3.07072545586558,0.672959336924433,0.000444791656961396,40,7210,1
-4.89266829431639,0.243069247422666,4.29713768322757e-07,40,7112,1
-3.54973434940346,-1.98196434834116,0.630731048745741,40,7082,0
-7.53786996662757,-2.25166217625651,0.0827320303595948,40,7265,0
-4.64918244891904,-1.27008165716121,2.08312267719977e-05,40,7069,1
-4.40005764061526,-5.06841832826318,3.53157389917336e-06,40,7168,1
-3.62169361296523,-1.36325619695323,0.0198243123038448,40,6920,1
-3.18866751256702,-2.66289625144346,0.00632639794827496,40,7167,1
-6.75302342181485,-0.536721779166538,1.7202394796364e-10,40,7142,1
-3.66730565796882,-0.886053764873038,0.00452692931713586,40,7108,1
-5.48526587797465,-3.8503783975967,2.45153952045117e-08,40,7309,1
-5.65289073935963,-1.12002086985778,4.03834869058049e-09,40,7112,1
-7.36837481111919,-5.22536718469904,1.91372959709547e-14,40,7086,1
-5.40018701903069,-3.66099184768213,9.62250185343839e-07,40,7028,1
-8.74797024733289,-5.98397301233127,7.23799547611862e-21,40,7221,1
-5.42232609643616,-2.99093902724081,0.364444050978225,40,6983,0
-3.99426152946994,-2.13965473241369,0.000215534143162046,40,6966,1
-4.00103972314985,-0.812706329146569,0.481191425816854,40,7246,0
-6.32054376812352,-3.03824692129409,1.81083179796481e-07,40,7142,1
-8.5932439051463,-3.53255711939405,1.65672284661664e-16,40,7072,1
-5.60875821539544,-6.07646622173197,2.63238817009821e-11,40,7049,1
-3.29820832123862,-1.18571089478712,0.00166253048923019,40,7270,1
-7.56304940695267,-2.72987593259189,2.57314404251758e-13,40,6962,1
-6.95718370664654,-2.79582368835746,3.17478846692618e-12,40,7234,1
-7.54548831396732,-6.16061709599755,1.49067564478898e-16,40,7148,1
-6.0805639322582,-3.20886872190981,3.19505347938044e-08,40,7210,1
-5.69446112964939,-1.86895644143112,4.07859184265673e-09,40,7425,1
-4.32612717909511,-0.703527776490924,3.86103791575899e-05,40,7137,1
-5.05948563160408,-4.64108349367374,4.15501805250601e-08,40,7136,1
-6.67735845453237,-2.60938242177236,5.58520214517773e-10,40,7097,1
-6.75138230792287,-1.54371667771439,5.87879018273121e-10,40,7082,1
-5.50383799202721,-2.27497554928781,0.294940300796591,40,7216,0
-4.58649706653316,-2.14045767525238,1.67037349930035e-05,40,7287,1
-7.27887977221255,-4.14801596486704,1.51874037239749e-12,40,7101,1
-8.04370950003266,-5.97848528221934,1.416584043558e-17,40,7116,1
-3.13276667355512,-2.84121718664892,0.00121525228529495,40,7123,1
-2.90322501230144,0.359698332547332,0.137956555700475,40,7155,0
-4.94747007640146,-4.94572737909939,4.42427759593972e-10,40,7072,1
-4.21061831851541,-0.35250943461036,2.91288056947882e-05,40,7058,1
-4.42828713837968,-2.87580423522008,0.000324929532346595,40,7126,1
-5.11273999086108,-1.85022594142139,8.02927743278846e-06,40,7136,1
-5.65634649895265,-3.69943115147088,1.81526071976656e-09,40,7190,1
-5.44586542027037,0.355105880390886,8.69399818697832e-09,40,7041,1
-7.78212628585222,-4.95196254925863,5.49793388706899e-15,40,7084,1
-6.13333411005479,-2.03692106712393,1.04140730130626e-08,40,7204,1
-5.69805085472256,-1.55682923644068,3.0473616525717e-08,40,7231,1
-5.46460663881162,-3.1428543881084,4.852017402824e-08,40,7195,1
-4.31867586410058,-2.6545466490748,0.00593047414349549,40,7034,1
-5.53380804559801,-1.84743138451152,7.07948072959859e-07,40,7137,1
