"relatednessrel:morphTypeop:vocabulary","relatednessrel:morphTypetr:vocabulary","car::anova_pValue","nSbj","nDatapoints","converged"
-2.98693940150696,-4.9964522479103,9.2473197194776e-21,40,7330,1
-2.78290687718432,-4.46300069507029,2.94335628059034e-15,40,7188,1
-3.21973275512417,-3.1168015092082,9.77437563478688e-10,40,7242,1
-2.94455108524465,-4.43909971001911,1.61281361022556e-13,40,7082,1
-0.472018882834977,-1.35442633850918,0.0663571131959902,40,7223,1
0.0851059864131861,-2.68102188161323,2.51239680222884e-06,40,6994,1
-2.92892249875076,-3.3418122825448,4.61265517557385e-10,40,7084,1
-1.83006811372046,-2.29349103033842,0.000142049175356067,40,7173,1
-3.91632966132403,-3.61082204452158,6.47298407153628e-14,40,7154,1
-4.97606279923541,-2.97315318468382,1.55862688537807e-16,40,7155,1
-0.064677568889905,-0.178658630351503,0.953739159507266,40,7034,1
-0.65023150572107,-1.31986980134451,0.0722790066181291,40,7021,1
-3.82917550991829,-3.92726352553248,1.04057954166983e-10,40,7107,1
1.34906316544048,-1.92948244462397,1.58017218226447e-05,40,7165,1
-1.71457060957006,-3.54554898987186,1.77677439663248e-09,40,7229,1
0.59691638778796,-0.889140909205962,0.055640398928828,40,7161,1
-0.841994079641464,-3.30156478810611,1.0181201661129e-07,40,7323,1
-1.86098998276945,-2.57685612744068,0.754077357417688,40,7105,0
-2.13936653201271,-3.02140175537579,2.69307534859898e-07,40,7296,1
-1.34944928922175,-2.16641221080336,0.811334635568594,40,7149,0
-0.715318691531387,-3.77363150393144,2.28516167991045e-10,40,7221,1
-0.785769405642513,-2.93749404824352,1.44377695132474e-06,40,7149,1
-2.04570317586054,-2.80549366547978,8.74780974332483e-07,40,7162,1
-1.17635002697665,-3.47283000600512,1.17053834029976e-09,40,7103,1
-4.20932398948445,-3.70101297150619,1.09746934694555e-14,40,7114,1
-2.46517753008985,-2.53046370408391,7.07191693705686e-07,40,7157,1
-0.0624552609773583,-5.07141993407462,0.195208064492791,40,7184,0
-2.19416155148721,-3.81298524588624,1.99079908280799e-10,40,7206,1
-0.0598877224653525,-2.11426956571658,0.000418257234166449,40,7166,1
-3.03555999109111,-1.9209221018669,1.64658721435757e-06,40,7274,1
-0.809431833369063,-3.94962594550049,1.00058111655127e-12,40,7343,1
-1.27606484195473,-4.26381896292262,2.67768528223948e-11,40,7120,1
-2.0331755478485,-3.38549638889274,1.68110115113523e-08,40,7122,1
-0.645237030901394,-3.80492608299432,2.33674984534739e-10,40,7132,1
0.604111668168778,-5.22670982447336,9.06643139216013e-27,40,7154,1
-2.54384123159752,-3.52753875912097,8.3543796699897e-10,40,7134,1
-1.82750332085911,-3.76901526268698,1.43938666343283e-09,40,7213,1
-1.50897206274082,-2.05840922681807,0.000393504032788457,40,7142,1
-0.760647572378869,-1.59204220933414,0.0448398691127162,40,7155,1
-1.30450071026357,-3.89930504571156,4.25884462274508e-09,40,7040,1
-1.29010388166586,-3.08154399225062,2.31222183420896e-07,40,7220,1
-3.46419294572671,-5.06806355069092,5.86883775051497e-15,40,7249,1
-2.71733317758454,-6.67057753447622,2.71751394410344e-34,40,7257,1
-4.81671100163818,-4.67405856253939,7.66229087239243e-20,40,7033,1
-0.239397359131759,-3.43286845899346,4.20631702087202e-10,40,7132,1
-0.862416405856135,-3.86043732670084,1.12838063353249e-10,40,7082,1
-3.81249044786992,-5.99882707164342,1.03115525704826e-22,40,7103,1
-1.30757737244093,-4.58680475626894,2.83705007250111e-12,40,7074,1
-0.153049698553657,-3.33821183593373,4.25916090272742e-09,40,7157,1
-2.28949072638048,-2.79714679972825,5.39188611319782e-07,40,7210,1
-2.98590475324336,-2.03868502993744,2.07799020854017e-07,40,7264,1
-1.6002499301067,-4.99378171891254,1.20446515324753e-15,40,6993,1
1.38678449633517,-2.76766926018652,1.64056428671036e-12,40,7157,1
-0.10653553295496,-1.95623861551546,0.00238520198463048,40,7080,1
-2.35292631826954,-0.843988009683479,0.000951416955465082,40,7128,1
-3.24559597307302,-4.15227881686401,3.72220290648085e-14,40,7119,1
-4.1801858547857,-2.08775179031051,2.57716866101851e-12,40,7160,1
-2.12203170854106,-3.04705833547444,6.09412478320499e-06,40,7193,1
-3.28812005198341,-2.33731288934443,2.29987991458163e-07,40,7179,1
-1.56190062166671,-4.47786232273279,2.19137558943142e-11,40,7035,1
-2.83150779756568,-3.47624140476962,3.31563284644379e-10,40,7038,1
-2.96535670827785,-5.01881461687866,5.86715236661045e-16,40,7260,1
-3.08920026384482,-5.39680073804104,2.42677885804125e-22,40,7203,1
-2.07781352889933,-6.10680681484467,0.188979122040472,40,7071,0
-1.22208675733157,-3.36251832206758,0.595316036475912,40,7126,0
-0.669000879254933,-2.27143615688179,0.000102184008935176,40,7058,1
-3.04023750537168,-4.05334154534282,0.443794282620313,40,7359,0
-3.94593983935025,-3.9513006902809,7.28427536993588e-15,40,7183,1
-3.50286532252941,-2.65935986659249,1.01038869190088e-07,40,7168,1
-1.03999754320565,-1.2646205506328,0.0584356911121122,40,7191,1
-1.65765022544699,-0.780706471127102,0.0155333973797847,40,7217,1
-0.604826247216323,-5.18827881460794,0.229786453862007,40,7183,0
-0.179337601609443,-0.920860282133001,0.26069145802502,40,7236,1
-3.39536727681489,-3.16221121870552,4.73172239723604e-11,40,7210,1
-3.67043063543864,-5.09804845589173,0.325330731237989,40,7112,0
-0.907211184706468,-3.93170534666358,1.55081585264385e-10,40,7082,1
-3.74736095080026,-3.71287485399632,6.1249780099869e-12,40,7265,1
-1.79015142472532,-3.43813796976095,1.81936911782996e-07,40,7069,1
-0.586033579202048,-3.55302058584849,9.18281299348801e-10,40,7168,1
-1.65679685528951,-1.06755518982642,0.899422769095425,40,6920,0
-2.26793286051685,-4.12113744196916,3.1458946437258e-13,40,7167,1
