"Words" "MeanNgramFreq"
"1" "acidic" 9466.99
"2" "plunder" 9914.2
"3" "adopted" 6901.42
"4" "perhaps" 7783.6
"5" "equipment" 6570.94
"6" "composer" 11501.83
"7" "palpably" 4689.92
"8" "watcher" 11492.92
"9" "believer" 11500.92
"10" "archer" 14902.72
"11" "calmness" 8859.56
"12" "voucher" 8935
"13" "benignly" 5751.87
"14" "bearded" 8265.66
"15" "bloody" 2964.64
"16" "boarder" 12086.73
"17" "bomber" 9242.61
"18" "brandy" 12158.71
"19" "foundry" 3673.22
"20" "warfare" 13176.94
"21" "bulbous" 2305.78
"22" "loyally" 5593.94
"23" "epileptic" 7458.58
"24" "chilly" 6593.65
"25" "enactment" 10510.24
"26" "coaster" 15670.95
"27" "ability" 6910.84
"28" "developer" 10248.36
"29" "crafty" 5579.76
"30" "creamy" 8086.12
"31" "tendency" 12238.62
"32" "crooked" 4051.22
"33" "instruction" 10779.8
"34" "production" 8639.88
"35" "dialog" 10895.88
"36" "wearily" 9837.15
"37" "starter" 19622.49
"38" "masonry" 8232.88
"39" "feathery" 9405.05
"40" "early" 8511.28
"41" "suburban" 6146.48
"42" "addition" 10842.44
"43" "vicarage" 12841.16
"44" "rumbling" 7495.98
"45" "justify" 6591.05
"46" "filthy" 3238.06
"47" "fizzle" 4915.69
"48" "simplify" 6053.8
"49" "fleshy" 5504.45
"50" "flicker" 10678.56
"51" "missive" 8490.7
"52" "forceps" 5070.17
"53" "freeze" 6011.39
"54" "alcoholic" 9065.96
"55" "galaxy" 6349.09
"56" "glade" 7838.7
"57" "gloomy" 4340.19
"58" "sufferer" 13472.12
"59" "gluten" 10327.85
"60" "golfer" 9597.06
"61" "situation" 12484.45
"62" "snobbish" 4977.95
"63" "guilty" 3025.85
"64" "hearty" 8051.5
"65" "heaven" 8113.5
"66" "helmet" 7273.89
"67" "validity" 8734.38
"68" "amateurish" 11931.43
"69" "revolutionary" 11441.43
"70" "murderous" 8758.7
"71" "anaesthetic" 11318.84
"72" "irony" 10308.73
"73" "jerkin" 11091.2
"74" "anxiously" 5543.34
"75" "extremism" 7615.64
"76" "mourner" 10680.79
"77" "friendly" 8970.54
"78" "number" 8237.49
"79" "nymphet" 3357.32
"80" "organic" 11690.75
"81" "fossilise" 9456.51
"82" "lectureship" 7192.46
"83" "dreadful" 5144.69
"84" "absurdity" 4489.18
"85" "planet" 12677.53
"86" "plucky" 1683.84
"87" "broiler" 11332.91
"88" "plush" 2492.86
"89" "poetry" 5483.88
"90" "public" 6636.89
"91" "pulpit" 4068.85
"92" "quartz" 7609.34
"93" "actually" 5483.32
"94" "mimicry" 6866.48
"95" "steadily" 8811.47
"96" "physical" 7249.75
"97" "exemption" 7692.2
"98" "risky" 8700.79
"99" "jauntily" 7023.94
"100" "scrape" 9052.97
"101" "narrowly" 8125.44
"102" "obviously" 3307.49
"103" "shovel" 4950.86
"104" "shunt" 5604.98
"105" "sight" 4086.81
"106" "signet" 7940.93
"107" "smuggle" 4003.74
"108" "sniper" 10126.71
"109" "soften" 9865.04
"110" "idealism" 8522.71
"111" "defector" 7082.74
"112" "gaseous" 5259.23
"113" "stirrup" 7990.6
"114" "moisture" 10104.1
"115" "stunt" 9536.52
"116" "medical" 10543.24
"117" "novelty" 6000.04
"118" "tactile" 10886.98
"119" "finally" 10295.87
"120" "booklet" 4621.91
"121" "scruffy" 2989.9
"122" "toaster" 15764.44
"123" "trainee" 12332.94
"124" "treaty" 11743.45
"125" "trolley" 9569.3
"126" "trumpet" 6205.8
"127" "twinkle" 6016.38
"128" "twitch" 4034.83
"129" "united" 9716.29
"130" "viewer" 9273.42
"131" "grossly" 5872.12
"132" "weird" 3328.59
"133" "whisker" 8609.27
"134" "widowed" 3132.82
"135" "yearly" 6913.57
"136" "kingdom" 7313.16
"137" "against" 9186.04
"138" "agreement" 10376.47
"139" "alarming" 13301.62
"140" "angelic" 12615.51
"141" "baronet" 14639.99
"142" "basilisk" 8826.3
"143" "thinker" 10503.1
"144" "safely" 4762.35
"145" "brothel" 6421.15
"146" "cloudless" 6045.86
"147" "muffler" 8154.32
"148" "colonel" 13563.69
"149" "command" 11912.07
"150" "country" 8043.99
"151" "watery" 15230.9
"152" "cryptic" 5822.04
"153" "demonstrate" 14100.12
"154" "department" 10483.01
"155" "discern" 11912.68
"156" "dreamer" 13240.36
"157" "drunkard" 5637.07
"158" "within" 7993.8
"159" "eruption" 12397.93
"160" "ethereal" 12370.4
"161" "extract" 6894.3
"162" "harden" 12198.56
"163" "fleeting" 10262.32
"164" "lovers" 10785.61
"165" "floater" 14212.11
"166" "prudish" 5900.65
"167" "golden" 8822.01
"168" "fruitless" 6434.48
"169" "keeper" 8840.88
"170" "bridal" 9444.96
"171" "thinly" 6168.79
"172" "greenery" 13123.71
"173" "grueling" 8958.35
"174" "infantry" 11303.49
"175" "international" 16868.75
"176" "inventory" 12136.61
"177" "investigate" 12743.97
"178" "sandy" 10909.08
"179" "legendary" 10486.56
"180" "tripper" 12666.89
"181" "northern" 10452.62
"182" "really" 9796.19
"183" "oxygenate" 9925.81
"184" "parenthesis" 13104.99
"185" "plaintiff" 10007.82
"186" "filmy" 3369.12
"187" "dealer" 13856.38
"188" "gently" 8120.31
"189" "question" 11849.27
"190" "quieten" 10729.05
"191" "renewable" 9167.24
"192" "downs" 3344.11
"193" "scalding" 10691.31
"194" "ninety" 10962.12
"195" "secretary" 11695.72
