subject	phonemicFluency	phonemicComprehension	morphComprehension	spelling	readingComprehension	vocabulary	oralComprehension	aoa1.Aoa	aoa2.usage	aoa3.context	aoa4.contextMultling	aoa5.selfRatedProf	aoa6.otherLang
1	15	8	10	10	4	11	5	6	1	school	no	3	yes
2	11	1	8	1	1	8	2	3	1	school	yes	1	yes
3	32	7	10	14	6	19	6	4	2	home	no	4	yes
4	39	8	10	17	4	19	6	9	5	school	yes	5	yes
5	13	10	9	10	6	19	4	6	3	home	yes	3	yes
6	45	10	10	18	7	16	6	7	2	home	no	5	yes
7	22	9	10	7	2	15	6	8	3	school	no	3	yes
8	26	5	10	11	4	16	4	7	3	school	no	4	no
9	28	13	10	12	4	17	6	0	5	home	yes	5	yes
10	11	8	8	10	6	15	3	3	4	home	yes	5	no
11	34	12	8	3	2	13	3	9	3	school	no	3	yes
12	13	6	6	1	4	8	4	11	1	school	no	3	yes
13	2	8	8	1	4	12	3	6	1	school	no	3	yes
14	24	8	9	4	1	16	5	8	2	school	yes	4	no
15	22	8	8	2	4	15	4	8	3	school	yes	3	no
16	30	6	9	5	6	15	2	8	2	school	no	2	yes
17	22	12	10	10	6	14	6	6	3	school	no	3	yes
18	39	9	10	12	6	18	4	8	5	school	no	5	no
19	8	12	9	11	2	17	5	8	4	school	no	4	no
20	24	13	10	16	6	19	6	0	5	home	no	4	yes
21	19	9	9	8	4	15	5	6	3	school	no	4	yes
22	25	6	10	7	5	17	6	3	2	school	no	4	yes
23	23	6	10	7	2	16	6	7	2	school	yes	5	no
24	19	8	7	3	6	15	3	7	2	school	no	3	yes
25	16	3	9	2	3	13	5	11	4	school	no	4	yes
26	29	7	10	10	4	15	5	6	2	school	yes	3	no
27	24	8	10	9	5	16	5	11	3	school	no	4	yes
28	18	6	6	3	3	15	3	8	4	school	no	3	yes
29	27	9	10	15	6	19	6	6	3	school	yes	3	no
30	13	7	7	5	2	15	2	7	3	school	no	3	yes
31	12	8	8	4	1	17	2	6	4	school	no	3	yes
32	20	11	10	10	6	15	4	8	3	school	no	3	yes
33	8	5	8	1	1	13	2	3	2	school	yes	3	yes
34	34	11	10	17	7	19	6	8	4	school	no	4	yes
35	10	3	5	2	1	15	2	6	2	school	no	2	yes
36	31	8	8	8	4	15	5	6	3	school	yes	1	no
37	13	10	7	5	5	13	4	6	3	school	no	4	no
38	10	12	8	6	5	13	3	6	3	school	no	5	no
39	17	0	4	0	2	8	1	9	2	school	no	3	yes
40	24	12	10	7	5	16	5	6	1	school	no	2	yes
41	29	8	10	14	7	18	6	6	5	school	no	3	yes
42	21	9	9	11	7	18	6	10	4	school	no	5	yes
43	17	6	7	4	6	10	4	11	3	school	yes	4	no
44	15	10	5	2	5	12	1	12	2	school	no	2	yes
45	21	7	6	2	6	12	3	6	5	school	no	5	no
46	18	9	8	10	4	16	6	6	3	school	no	3	yes
47	23	10	10	9	4	15	6	6	3	school	no	3	yes
48	27	7	9	2	1	12	1	8	3	school	no	4	yes
49	36	11	10	18	6	19	6	4	5	school	no	4	yes
50	27	8	10	6	6	14	6	9	5	school	yes	5	no
51	23	8	9	3	3	11	3	15	2	school	no	2	yes
52	16	9	8	8	3	14	5	6	5	home	yes	5	yes
53	27	9	10	16	4	19	5	5	5	home	no	4	yes
54	22	10	8	7	2	16	2	6	3	school	no	4	yes
55	0	8	6	4	3	14	3	10	2	school	no	3	no
56	19	12	9	4	4	13	5	6	4	school	no	3	yes
57	26	8	9	9	6	17	6	6	2	school	no	4	yes
58	18	10	8	7	5	16	4	4	3	school	no	3	yes
59	26	12	10	14	6	16	6	6	4	school	no	4	yes
60	23	9	7	3	2	13	1	6	3	school	no	2	yes
61	16	8	9	0	6	17	5	7	4	school	yes	4	yes
62	20	10	9	6	3	18	3	5	2	school	no	3	yes
63	31	9	10	7	6	16	6	4	4	home	no	3	yes
64	19	9	10	6	6	16	4	8	2	school	no	3	yes
65	26	11	10	12	5	17	6	8	3	school	no	4	yes
66	26	11	10	8	6	16	5	6	2	school	no	4	yes
67	19	10	9	7	5	13	6	4	1	school	no	2	yes
68	24	8	10	6	4	18	6	6	4	school	no	4	yes
69	20	10	9	12	7	14	6	6	4	school	yes	3	yes
70	20	8	10	12	4	13	5	5	5	school	no	4	yes
71	27	10	10	14	4	14	4	5	4	school	no	3	no
73	30	8	10	11	6	14	6	4	4	school	no	3	yes
74	18	12	10	6	6	19	6	0	3	school	yes	4	no
75	27	5	10	9	3	16	2	8	3	school	no	3	no
76	16	7	9	6	5	15	6	5	3	school	no	3	yes
77	39	11	9	13	3	18	6	8	3	school	yes	4	yes
78	16	10	9	3	5	14	5	5	3	school	no	4	no
80	23	12	10	7	6	13	5	6	3	school	no	3	yes
81	22	11	10	14	5	17	6	7	4	school	no	4	yes
82	39	12	10	17	7	19	6	2	4	home	yes	4	yes
84	29	10	10	6	6	17	6	10	2	school	no	4	yes
