word	OSC
aback	1
abase	-0.0389268625911051
abate	0.603909930676901
abbess	1
abbey	0.990859901027558
abbeys	1
abbot	0.993408228287464
abduct	0.74686989233596
abeam	1
abed	0.0997010611192006
abet	0.0235126170636648
abhor	0.668425068223778
abide	0.964983487543046
abject	0.913353431139085
abjure	1
ablaze	1
able	0.256162524554511
ably	0.0825258145355094
aboard	0.957353708666148
abode	1
abort	0.437551763139039
abound	1
about	0.994313200876248
above	0.999700172037228
abrade	1
abreast	1
abridge	0.805368658901644
abridged	0.517447749928665
abroad	1
abrupt	0.725862778825593
abscess	1
abscond	1
absence	1
absent	0.917682002442547
absolve	1
absorb	0.878174114799782
abstain	0.978550155755467
abstract	0.974397262240866
abstruse	1
absurd	0.809037560500655
abuse	0.980918503136475
abused	1
abyss	0.925780738857606
accede	1
accent	0.956748951480428
accept	0.881497150281924
access	0.877809106256409
acclaim	0.652840909793548
acclaimed	1
accord	0.917101749216827
accost	1
account	0.870842082819133
accrete	1
accrue	0.884012358370167
accrued	1
accuse	0.988090811859743
ace	0.0610594409525052
ache	0.11811004620309
achieve	0.92323518516713
achieved	1
acid	0.946966350221038
acme	0.824316660584485
acne	1
acorn	1
acquaint	0.709952498339448
acquit	0.905563914918491
acre	0.514855658179954
acrid	1
across	0.99371534714821
act	0.216046436075766
acted	0.0442049540004956
acting	0.659328808984561
action	0.584606887646813
active	0.702280735585035
actor	0.315912487489545
actress	0.998408133839462
actual	0.609584945144933
acute	0.961983043416452
ad	0.0687892051946963
adage	0.936287027104634
adam	0.116055150178047
adapt	0.864691894646515
add	0.633693689319475
added	0.996048999576875
adder	0.102491644642895
addict	0.800480695551407
address	0.996626314016129
addressed	0.439725781327716
adduce	1
adept	0.992161492513198
adeptly	1
adhere	0.731036639519484
adieu	1
adjoin	0.558268601614133
adjourn	0.876300528326986
adjudge	1
adjunct	0.962401424419325
adjust	0.859406117542098
adman	0.0887339886144859
admit	0.970098275892609
ado	0.00616123618040599
adopt	0.962276255841486
adore	0.966111927525926
adorn	0.888663204946585
adrift	1
adroit	0.745114387202063
ads	0.10779109977396
adult	0.972769988696567
adv	-0.0334592622550381
advance	0.821067725911592
advanced	0.999516851929159
advent	0.230545774292563
adverb	0.842839784365496
adverse	0.884125076709209
advert	0.59405620506541
advice	1
advise	0.929818882073732
advised	0.612637309348011
adze	1
aegis	1
aeon	0.449977961888365
aerial	0.994684828992094
aesthete	0.816779712332654
afar	0.358322788151948
affair	0.997846470793698
affect	0.905950918337354
affects	1
affine	1
affirm	0.713939879017238
affix	0.993590089329326
afflict	0.839179199939383
affluence	1
affluent	0.994986913137097
afford	0.710544562075989
affray	1
affront	1
afghan	0.607794032567046
afield	1
aflame	1
afloat	1
afoot	1
afore	0.237235310632209
afraid	0.995706395331405
afresh	1
afro	0.153680189520292
aft	0.0143505424093808
after	0.962019306583392
afters	0.191397977786464
again	0.999114121878151
agape	1
agar	0.352228972092167
agate	0.112934533885298
age	0.237288562409291
aged	0.0922585425391065
ageing	1
ageless	1
agent	0.952061544144182
aggrieve	1
aggro	1
aghast	1
agile	0.352154868178203
aglow	1
ago	0.600693187501458
agog	0.0804449821589179
agree	0.890116985180948
agreed	1
aground	1
ague	0.0901020321586747
ah	0.21415427966028
ahead	0.999366731558689
ahoy	1
aid	0.608826970972621
aide	0.237740938399473
aids	0.404090448891728
ail	0.0259441170469532
ailing	0.0457837770860119
ailment	0.737691687273057
aim	0.477239368738963
aiming	1
aimless	0.682655896484217
aims	1
air	0.343412955590533
airbase	0.924743053659747
airbed	1
airborne	1
airbrake	1
airbus	1
aircraft	0.996003590354889
aircrew	1
airdrome	1
airdrop	1
aired	0.0732839223957454
airfield	1
airflow	1
airforce	1
airframe	1
airgun	0.797494268079345
airguns	1
airing	0.660245660295713
airless	0.388529651614461
airlift	0.801814311262022
airline	0.948330846515272
airlock	1
airmail	1
airman	0.0420174875653697
airplane	1
airport	1
airs	0.0702801504209937
airscrew	1
airship	1
airspace	1
airspeed	1
airstrip	1
airtight	0.924747349870784
airway	0.547387945804832
airy	0.227696707596735
aisle	0.957421412222062
aitch	1
ajar	1
akin	0.102844175985059
al	0.0458277660120927
alarm	0.922493405206569
alarmed	1
alb	-0.00502288563403503
album	0.996641762739049
alcove	1
alder	0.355802723281022
ale	0.0675974243405464
alehouse	1
alert	0.99265060359927
alga	0.364525768681274
algae	0.987279301860812
alias	0.931035078689776
alien	0.765341361808821
alight	0.949400955185702
align	0.517319824462383
alike	0.976502934890186
alive	0.999471983443389
all	0.568980748619544
allah	0.555505828462813
allay	1
allege	0.752821875171237
alleged	0.902033754005068
alley	0.271421489245881
allied	1
allies	0.736295579343463
allot	0.196072219535969
allow	0.911526072216035
allowed	0.227888645803981
alloy	0.993236102957211
allspice	1
allude	1
allure	0.962828972029978
ally	0.100825567634204
almond	1
almost	1
