Trial.ID Target.ID lexicality morphtype target prime primetype logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
21001 1 WORD TR acre plunder ctrl 3,93 4 7 2,99 14 3
21002 2 WORD TR agree equipment ctrl 5,1 5 9 4,53 3 0
21003 3 WORD TR alarm composer ctrl 4,27 5 8 4,01 0 3
21004 4 WORD TR angel watcher ctrl 4,29 5 7 2,98 8 9
21005 5 WORD TR artist calmness ctrl 4,71 6 8 2,75 2 0
21006 6 WORD TR baron voucher ctrl 3,6 5 7 3,19 16 5
21007 7 WORD TR cloud enactment ctrl 4,77 5 9 2,84 3 0
21008 8 WORD TR critic tendency ctrl 3,68 6 8 3,61 1 0
21009 9 WORD TR diet wearily ctrl 4,26 4 7 1,81 28 1
21010 10 WORD TR dream masonry ctrl 5 5 7 3,02 5 0
21011 11 WORD TR drunk feathery ctrl 4,46 5 8 2,95 6 3
21012 12 WORD TR employ addition ctrl 3,93 6 8 4,15 0 1
21013 13 WORD TR erupt vicarage ctrl 3,01 5 8 2,97 0 0
21014 14 WORD TR float missive ctrl 3,96 5 7 2 5 2
21015 15 WORD TR govern situation ctrl 3,57 6 9 5,09 1 0
21016 16 WORD TR green snobbish ctrl 5,22 5 8 2,52 10 1
21017 17 WORD TR inhibit amateurish ctrl 2,53 7 10 2,47 1 1
21018 18 WORD TR legend anxiously ctrl 4,34 6 9 3,11 0 0
21019 19 WORD TR north friendly ctrl 5,32 5 8 4,5 7 0
21020 20 WORD TR oxygen fossilise ctrl 4,24 6 9 1,65 1 0
21021 21 WORD TR quiet mimicry ctrl 4,86 5 7 2,32 5 0
21022 22 WORD TR react physical ctrl 4,19 5 8 4,45 3 0
21023 23 WORD TR renew exemption ctrl 3,44 5 9 2,93 2 0
21024 24 WORD TR scald jauntily ctrl 2,46 5 8 1,54 8 0
21025 25 WORD TR teach finally ctrl 4,57 5 7 5,14 5 0
11026 26 WORD TR acid acidic rel 4,01 4 6 3,26 11 0
11027 27 WORD TR adopt adopted rel 3,8 5 7 4,07 2 3
11028 28 WORD TR beard bearded rel 3,98 5 7 3,31 8 1
11029 29 WORD TR blood bloody rel 4,98 5 6 4,66 9 6
11030 30 WORD TR bomb bomber rel 4,49 4 6 3,86 9 8
11031 31 WORD TR bulb bulbous rel 3,68 4 7 2,65 5 0
11032 32 WORD TR chill chilly rel 4,05 5 6 4,04 7 9
11033 33 WORD TR cream creamy rel 4,89 5 6 3,82 8 6
11034 34 WORD TR filth filthy rel 3,47 5 6 3,92 5 0
11035 35 WORD TR fizz fizzle rel 3,42 4 6 2,81 12 9
11036 36 WORD TR flesh fleshy rel 4,15 5 6 2,95 4 2
11037 37 WORD TR gloom gloomy rel 3,6 5 6 3,63 5 2
11038 38 WORD TR golf golfer rel 4,52 4 6 3,54 8 4
11039 39 WORD TR guilt guilty rel 3,83 5 6 4,57 4 1
11040 40 WORD TR marsh marshy rel 3,77 5 6 2,63 7 2
11041 41 WORD TR mourn mourner rel 3,13 5 7 2 6 4
11042 42 WORD TR nymph nymphet rel 2,72 5 7 1,3 1 0
