Trial.ID	Target.ID	lexicality	morphtype	target	prime	primetype	logfreq.Zipf.t	lent	lenp	logFreq.Zipf.p	Nt	Np
21001	1	WORD	TR	acre	acreage	rel	3,93	4	7	2,76	14	0
21002	2	WORD	TR	agree	agreement	rel	5,1	5	9	4,61	3	0
21003	3	WORD	TR	alarm	alarming	rel	4,27	5	8	3,56	0	0
21004	4	WORD	TR	angel	angelic	rel	4,29	5	7	2,8	8	1
21005	5	WORD	TR	artist	artistry	rel	4,71	6	8	2,89	2	0
21006	6	WORD	TR	baron	baronet	rel	3,6	5	7	2,65	16	1
21007	7	WORD	TR	cloud	cloudless	rel	4,77	5	9	2,31	3	0
21008	8	WORD	TR	critic	critical	rel	3,68	6	8	4,44	1	0
21009	9	WORD	TR	diet	dietary	rel	4,26	4	7	2,77	28	0
21010	10	WORD	TR	dream	dreamer	rel	5	5	7	3,06	5	3
21011	11	WORD	TR	drunk	drunkard	rel	4,46	5	8	2,45	6	0
21012	12	WORD	TR	employ	employer	rel	3,93	6	8	3,8	0	2
21013	13	WORD	TR	erupt	eruption	rel	3,01	5	8	3,51	0	0
21014	14	WORD	TR	float	floater	rel	3,96	5	7	2,47	5	2
21015	15	WORD	TR	govern	government	rel	3,57	6	10	5,76	1	0
21016	16	WORD	TR	green	greenery	rel	5,22	5	8	3,12	10	0
21017	17	WORD	TR	inhibit	inhibitory	rel	2,53	7	10	1,3	1	1
21018	18	WORD	TR	legend	legendary	rel	4,34	6	9	3,93	0	0
21019	19	WORD	TR	north	northern	rel	5,32	5	8	5,09	7	0
21020	20	WORD	TR	oxygen	oxygenate	rel	4,24	6	9	1,77	1	0
21021	21	WORD	TR	quiet	quieten	rel	4,86	5	7	2,82	5	4
21022	22	WORD	TR	react	reaction	rel	4,19	5	8	4,64	3	0
21023	23	WORD	TR	renew	renewable	rel	3,44	5	9	3,86	2	0
21024	24	WORD	TR	scald	scalding	rel	2,46	5	8	2,29	8	3
21025	25	WORD	TR	teach	teacher	rel	4,57	5	7	4,68	5	6
11026	26	WORD	TR	acid	yearly	ctrl	4,01	4	6	3,04	11	5
11027	27	WORD	TR	adopt	kingdom	ctrl	3,8	5	7	4,6	2	1
11028	28	WORD	TR	beard	thinker	ctrl	3,98	5	7	3,18	8	3
11029	29	WORD	TR	blood	active	ctrl	4,98	5	6	4,33	9	0
