Trial.ID Target.ID Lexicality Morphtype Target Prime.x Primetype Logfreq.Zipf.t Lent Lenp Logfreq.Zipf.p Nt Np Language
211001 1 WORD TR astro astrologo rel 3.19092323 5 9 2.502677091 13 2 ita
211002 2 WORD TR banca bancario rel 4.703674313 5 8 3.467385034 19 2 ita
211003 3 WORD TR benda bendaggio rel 3.493037607 5 9 2.675223069 22 1 ita
211004 4 WORD TR calcio calciatore rel 4.351991615 6 10 2.942971678 7 3 ita
211005 5 WORD TR campana campanile rel 3.806347183 7 9 3.063079503 4 2 ita
211006 6 WORD TR crema cremoso rel 4.077413955 5 7 2.630255924 17 3 ita
211007 7 WORD TR delfino delfinario rel 3.521337003 7 10 1.792983221 4 0 ita
211008 8 WORD TR fango fangoso rel 4.011453079 5 7 2.469676831 20 3 ita
211009 9 WORD TR farina farinoso rel 3.655561789 6 8 1.19092323 15 3 ita
211010 10 WORD TR frusta frustata rel 3.435200351 6 8 2.675223069 8 6 ita
211011 11 WORD TR gettone gettonato rel 2.902730459 7 9 1.96907448 6 3 ita
211012 12 WORD TR ghiaccio ghiacciolo rel 4.501191597 8 10 3.039112347 4 1 ita
211013 13 WORD TR mazza mazzata rel 3.989228512 5 7 2.513142525 18 3 ita
211014 14 WORD TR occhio occhiata rel 4.938218485 6 8 4.908593733 6 6 ita
211015 15 WORD TR origine originario rel 4.046139425 7 10 3.26464158 4 2 ita
211016 16 WORD TR parola paroliere rel 5.141239394 6 9 2.321256999 12 2 ita
211017 17 WORD TR pensione pensionato rel 4.35184173 8 10 3.077413955 7 2 ita
211018 18 WORD TR sabbia sabbiatura rel 4.17791877 6 10 1.792983221 6 0 ita
211019 19 WORD TR schifo schifoso rel 4.853492197 6 9 4.051261237 10 4 ita
211020 20 WORD TR servo servile rel 4.030086913 5 7 2.689233784 17 7 ita
211021 21 WORD TR stile stilista rel 4.550474147 5 8 3.26464158 17 3 ita
211022 22 WORD TR strada stradale rel 5.311710966 6 8 3.802646538 14 1 ita
211023 23 WORD TR tasto tastiera rel 3.537276204 5 8 3.304866582 22 4 ita
211024 24 WORD TR tavolo tavolata rel 4.727229102 6 8 2.232315915 11 4 ita
211025 25 WORD TR uggia uggioso rel 1.491953226 5 7 1.491953226 3 2 ita
221026 26 WORD TR arco melone ctrl 3.873970268 4 6 3.275499508 16 8 ita
221027 27 WORD TR arte sottile ctrl 4.622929917 4 7 3.863021088 26 4 ita
221028 28 WORD TR asma fogliame ctrl 3.516233602 4 8 2.480957841 16 4 ita
221029 29 WORD TR atto morale ctrl 4.411815479 4 6 4.317217021 27 7 ita
221030 30 WORD TR canto mammola ctrl 4.136637944 5 7 2.094013217 30 3 ita
221031 31 WORD TR cubo tessile ctrl 3.379851714 4 7 2.787520326 21 2 ita
221032 32 WORD TR dito idrico ctrl 4.477604199 4 6 2.808971327 46 2 ita
221033 33 WORD TR dose camerata ctrl 4.069732162 4 8 2.965440196 32 3 ita
221034 34 WORD TR erba areola ctrl 4.450278157 4 6 2.145165739 17 2 ita
221035 35 WORD TR fama ideale ctrl 3.907760953 4 6 4.063662057 40 6 ita
221036 36 WORD TR fato fidata ctrl 3.609224521 4 6 3.369900177 41 13 ita
221037 37 WORD TR fieno vettore ctrl 3.374193074 5 7 2.993696955 12 8 ita
221038 38 WORD TR forno frenata ctrl 4.012764157 5 7 2.990263779 17 12 ita
221039 39 WORD TR legno puerile ctrl 4.25162107 5 7 2.59746341 16 1 ita
221040 40 WORD TR mito botola ctrl 3.847979083 4 6 3.353786223 37 4 ita
221041 41 WORD TR nervo turista ctrl 3.431472478 5 7 3.467385034 7 7 ita
221042 42 WORD TR noia sadico ctrl 3.913557153 4 6 3.318028028 34 7 ita
221043 43 WORD TR orto litorale ctrl 3.238198097 4 8 2.367014489 30 2 ita
221044 44 WORD TR pollo nudista ctrl 4.465312026 5 7 2.70943717 26 3 ita
221045 45 WORD TR regia pittore ctrl 3.529379724 5 7 3.656306081 10 4 ita
221046 46 WORD TR sano alcolista ctrl 4.129693053 4 9 3.280828341 47 1 ita
221047 47 WORD TR sasso fazione ctrl 3.749631801 5 7 2.98331492 13 10 ita
221048 48 WORD TR taxi pontile ctrl 4.58973096 4 7 2.824391686 16 2 ita
221049 49 WORD TR vello bravata ctrl 2.433961279 5 7 2.993696955 28 5 ita
221050 50 WORD TR vetro fondale ctrl 4.228747981 5 7 2.997103204 16 5 ita
211051 51 WORD OP abito abitudine rel 4.311990397 5 9 4.053054609 17 2 ita
211052 52 WORD OP artiglio artigliere rel 2.986803247 8 10 2.93128592 2 2 ita
211053 53 WORD OP ballo ballatoio rel 4.761524539 5 9 2.03602127 32 0 ita
211054 54 WORD OP calvo calvario rel 3.467385034 5 8 2.728742325 17 2 ita
211055 55 WORD OP cernia cerniera rel 2.270104476 6 8 3.220307008 2 2 ita
211056 56 WORD OP colle collezione rel 2.898493406 5 10 4.098603254 23 8 ita
211057 57 WORD OP coscia coscienza rel 3.506893575 6 9 4.272810369 7 4 ita
211058 58 WORD OP costa costanza rel 4.609473092 5 8 2.93128592 32 2 ita
211059 59 WORD OP firma firmamento rel 4.323982873 5 10 2.734991274 10 2 ita
211060 60 WORD OP forma formaggio rel 4.76910384 5 9 4.324621776 27 5 ita
211061 61 WORD OP forza forziere rel 5.552103132 5 8 2.81417252 17 2 ita
211062 62 WORD OP genero generoso rel 3.48758842 6 8 3.960669697 7 3 ita
211063 63 WORD OP gesta gestazione rel 2.997103204 5 10 2.64576809 25 2 ita
211064 64 WORD OP boccia bocciolo rel 3.598314134 6 8 2.759124954 7 4 ita
211065 65 WORD OP indole indolenza rel 3.00716453 6 9 2.094013217 0 2 ita
211066 66 WORD OP maestra maestranze rel 3.913145694 7 10 1.844135744 5 0 ita
211067 67 WORD OP masso massaggio rel 2.898493406 5 9 3.912321606 19 5 ita
211068 68 WORD OP quiete quietanza rel 3.396398267 6 9 1.367014489 7 0 ita
211069 69 WORD OP serena serenata rel 1.734991274 6 8 2.803707087 9 3 ita
211070 70 WORD OP sosta sostanza rel 3.799449264 5 8 3.933648361 21 3 ita
211071 71 WORD OP tempera temperanze rel 2.212112529 7 10 1.889893 4 1 ita
211072 72 WORD OP testa testamento rel 5.506904066 5 10 3.98853696 31 2 ita
211073 73 WORD OP tratto trattore rel 4.201223187 6 8 3.242075752 14 3 ita
211074 74 WORD OP vanto vantaggio rel 2.93128592 5 9 4.300164199 21 1 ita
211075 75 WORD OP viola violenza rel 3.934432995 5 8 4.41011467 12 6 ita
221076 76 WORD OP bile barile ctrl 2.834375907 4 6 3.450994618 28 8 ita
221077 77 WORD OP briga revisore ctrl 3.228349728 5 8 2.653321228 8 3 ita
221078 78 WORD OP carro fiorente ctrl 4.160339142 5 8 2.580089314 22 2 ita
221079 79 WORD OP cavia lunario ctrl 3.245919092 5 7 2.798378253 13 2 ita
221080 80 WORD OP cono senile ctrl 3.329225928 4 6 2.702806591 47 9 ita
221081 81 WORD OP costo normale ctrl 4.144682922 5 7 4.857066657 26 8 ita
221082 82 WORD OP doga urbana ctrl 1.367014489 4 6 3.107377179 31 3 ita
221083 83 WORD OP falco corroso ctrl 3.792983221 5 7 2.421372151 14 5 ita
221084 84 WORD OP fosso calcolo ctrl 3.43766794 5 7 3.528382491 22 3 ita
221085 85 WORD OP gara padrone ctrl 4.46841784 4 7 4.477155084 40 11 ita
221086 86 WORD OP gelo dorato ctrl 3.161734841 4 6 3.418809935 27 17 ita
221087 87 WORD OP grano radioso ctrl 3.856504221 5 7 2.824391686 26 3 ita
221088 88 WORD OP matto plenario ctrl 4.546278953 5 8 1.19092323 31 1 ita
221089 89 WORD OP mimo tisana ctrl 2.954351224 4 6 2.844135744 30 2 ita
221090 90 WORD OP orma timoroso ctrl 2.502677091 4 8 2.502677091 27 5 ita
221091 91 WORD OP oste acquario ctrl 3.016998033 4 8 3.460436174 14 2 ita
221092 92 WORD OP pieta' stellata ctrl 4.32526 5 8 2.480957841 1 4 ita
221093 93 WORD OP pigna festivo ctrl 2.660745246 5 7 2.660745246 12 7 ita
221094 94 WORD OP rete lampante ctrl 4.361331642 4 8 2.911082533 30 2 ita
221095 95 WORD OP retta violino ctrl 4.268291135 5 7 3.670930173 31 3 ita
221096 96 WORD OP sale formale ctrl 4.319806932 4 7 3.603383777 44 7 ita
221097 97 WORD OP stiva europeo ctrl 3.382653623 5 7 3.337051266 12 5 ita
221098 98 WORD OP tatto caldaia ctrl 3.838794995 5 7 3.282590188 34 2 ita
221099 99 WORD OP vento pelvico ctrl 4.536100847 5 7 2.561991092 26 2 ita
221100 100 WORD OP vino embolo ctrl 4.702739771 4 6 2.808971327 42 2 ita
211101 101 WORD OR albero albergo rel 4.603299767 6 7 4.456684147 12 6 ita
211102 102 WORD OR banda bandiera rel 4.400304182 5 8 4.058979592 24 2 ita
211103 103 WORD OR barra barracuda rel 3.469676831 5 9 2.660745246 24 0 ita
211104 104 WORD OR cambio cambusa rel 4.695122149 6 7 2.702806591 5 1 ita
211105 105 WORD OR clava clavicola rel 2.25162107 5 9 3.115202516 11 1 ita
211106 106 WORD OR congruo congrega rel 1.889893234 7 8 3.135405902 2 0 ita
211107 107 WORD OR corda cordoglio rel 4.279944731 5 9 2.734991274 25 0 ita
211108 108 WORD OR corte corteccia rel 4.570591264 5 9 3.337051266 33 0 ita
211109 109 WORD OR guado guadagno rel 2.638081261 5 8 3.962877979 11 3 ita
211110 110 WORD OR lenza lenzuola rel 2.734991274 5 8 3.857441211 16 5 ita
211111 111 WORD OR mandria mandrillo rel 3.306533742 7 9 2.287833243 1 3 ita
211112 112 WORD OR massa massacro rel 4.130941385 5 8 3.818800925 23 2 ita
211113 113 WORD OR merce mercurio rel 4.028511668 5 8 3.507941331 16 0 ita
211114 114 WORD OR museo museruola rel 4.196103743 5 9 2.682284924 3 1 ita
211115 115 WORD OR ordine ordigno rel 4.965367199 6 7 3.309848983 13 1 ita
211116 116 WORD OR passero passerella rel 3.137866501 7 10 3.26464158 8 2 ita
211117 117 WORD OR pelle pellicola rel 4.724313938 5 9 3.666594418 28 1 ita
211118 118 WORD OR raggio raggiro rel 4.275678193 6 7 2.614169104 12 3 ita
211119 119 WORD OR resto restauro rel 5.130891521 5 8 3.122889345 23 3 ita
211120 120 WORD OR salame salamandra rel 3.379851714 6 10 2.502677091 9 1 ita
211121 121 WORD OR scalo scalogno rel 3.080224933 5 8 2.270104476 11 2 ita
211122 122 WORD OR scampo scampolo rel 3.552651066 6 8 1.93128592 9 1 ita
211123 123 WORD OR soffio soffitto rel 3.400438245 6 8 3.829412487 6 5 ita
211124 124 WORD OR squalo squallido rel 3.921301699 6 9 3.389580317 2 4 ita
211125 125 WORD OR trama tramonto rel 3.515205685 5 8 3.980856311 18 3 ita
221126 126 WORD OR avo patria ctrl 2.469676831 3 6 3.981208394 41 5 ita
221127 127 WORD OR bocca sobria ctrl 4.963684877 5 6 3.385437572 18 2 ita
221128 128 WORD OR cavo codardo ctrl 4.195889117 4 7 4.020227003 32 5 ita
221129 129 WORD OR cella relitto ctrl 4.41116211 5 7 3.244001674 31 5 ita
221130 130 WORD OR coro baruffa ctrl 3.945271566 4 7 2.352291232 44 1 ita
221131 131 WORD OR faro omicida ctrl 3.786970238 4 7 3.798914089 45 6 ita
221132 132 WORD OR guano stalla ctrl 2.52336169 5 6 3.662214941 9 12 ita
221133 133 WORD OR lama monello ctrl 4.001155748 4 7 2.990263779 35 5 ita
221134 134 WORD OR lana radice ctrl 3.875319708 4 6 3.539228093 41 7 ita
221135 135 WORD OR luce dinosauro ctrl 5.005037586 4 9 3.444987683 20 2 ita
221136 136 WORD OR lupo frolla ctrl 4.449560513 4 6 2.381254928 18 4 ita
221137 137 WORD OR male riffa ctrl 5.670671245 4 5 2.03602127 44 1 ita
221138 138 WORD OR mano spola ctrl 5.382388218 4 5 2.513142525 45 11 ita
221139 139 WORD OR meta dipinto ctrl 3.743591446 4 7 4.05927373 39 6 ita
221140 140 WORD OR oblio cruento ctrl 3.226352968 5 7 2.502677091 7 3 ita
221141 141 WORD OR palla storico ctrl 4.670354567 5 7 3.708119128 44 2 ita
221142 142 WORD OR piano salotto ctrl 5.375600468 5 7 3.867159447 24 5 ita
221143 143 WORD OR prode prefisso ctrl 2.86761684 5 8 3.112609706 20 3 ita
221144 144 WORD OR riso ghianda ctrl 4.238781957 4 7 2.722402147 34 3 ita
221145 145 WORD OR sala frangia ctrl 4.831006961 4 7 2.808971327 40 6 ita
221146 146 WORD OR scia staffa ctrl 3.508986565 4 6 2.682284924 24 3 ita
221147 147 WORD OR spia orologio ctrl 4.444261235 4 8 4.495736773 24 3 ita
221148 148 WORD OR spina litigio ctrl 4.028195933 5 7 3.680178398 19 4 ita
221149 149 WORD OR tribu' lattice ctrl 2.0 5 7 2.993696955 1 7 ita
221150 150 WORD OR vela olezzo ctrl 3.545991436 4 6 2.232315915 34 3 ita
212151 151 NONWORD NA doso doloso rel NA 4 6 3.266470191 34 5 ita
212152 152 NONWORD NA fela finale rel NA 4 6 4.516233602 36 10 ita
212153 153 NONWORD NA fuli fucile rel NA 4 6 4.445108639 29 12 ita
212154 154 NONWORD NA mato malato rel NA 4 6 4.532258815 44 15 ita
212155 155 NONWORD NA nale nasale rel NA 4 6 3.130442483 33 8 ita
212156 156 NONWORD NA seso setoso rel NA 4 6 1.588863239 29 5 ita
222157 157 NONWORD NA teno ottone ctrl NA 4 6 3.236246209 41 5 ita
222158 158 NONWORD NA safo venoso ctrl NA 4 6 2.543105748 22 4 ita
212159 159 NONWORD NA nele neurale rel NA 4 7 3.361184945 26 2 ita
212160 160 NONWORD NA pana paniere rel NA 4 7 2.469676831 48 7 ita
222161 161 NONWORD NA pammo amoroso ctrl NA 5 7 3.104737082 9 3 ita
222162 162 NONWORD NA lare ferrata ctrl NA 4 7 2.458094958 34 6 ita
222163 163 NONWORD NA lure settore ctrl NA 4 7 4.265373949 26 10 ita
212164 164 NONWORD NA faci fatidico rel NA 4 8 2.614169104 29 2 ita
212165 165 NONWORD NA mada marinara rel NA 4 8 2.571134472 43 6 ita
212166 166 NONWORD NA turme turbante rel NA 5 8 2.898493 8 2 ita
222167 167 NONWORD NA fepo ghiandola ctrl NA 4 9 2.947 11 1 ita
212168 168 NONWORD NA alteo altezza rel NA 5 7 4.458446946 13 2 ita
212169 169 NONWORD NA copoi copioso rel NA 5 7 2.120342156 3 3 ita
212170 170 NONWORD NA curpe cursore rel NA 5 7 2.03602127 5 0 ita
212171 171 NONWORD NA dorse dorsale rel NA 5 7 3.680178398 24 2 ita
212172 172 NONWORD NA logne longevo rel NA 5 7 1.668044485 10 3 ita
212173 173 NONWORD NA oneso oneroso rel NA 5 7 2.03602127 6 5 ita
222174 174 NONWORD NA sfase animato ctrl NA 5 7 3.226352968 4 5 ita
222175 175 NONWORD NA girto cortile ctrl NA 5 7 4.042181579 9 6 ita
222176 176 NONWORD NA ricre liquame ctrl NA 5 7 2.352291232 2 1 ita
222177 177 NONWORD NA tinbe malanno ctrl NA 5 7 2.64576809 6 3 ita
222178 178 NONWORD NA fisma pallore ctrl NA 5 7 2.421372151 8 3 ita
222179 179 NONWORD NA stefo quotato ctrl NA 5 7 2.367014489 8 7 ita
222180 180 NONWORD NA piame usabile ctrl NA 5 7 1.491953226 8 0 ita
212181 181 NONWORD NA marma marinaio rel NA 5 8 3.836836505 25 5 ita
222182 182 NONWORD NA sasta dolomiti ctrl NA 5 8 2.0 22 2 ita
222183 183 NONWORD NA salfo esaltato ctrl NA 5 8 2.872164467 13 5 ita
212184 184 NONWORD NA obbro obbrobrio rel NA 5 9 2.304866582 2 0 ita
222185 185 NONWORD NA gelpi cifratura ctrl NA 5 9 2.352291232 2 1 ita
212186 186 NONWORD NA cartra cartella rel NA 6 8 3.998458258 2 8 ita
212187 187 NONWORD NA geteni genetico rel NA 6 8 3.580089314 0 3 ita
212188 188 NONWORD NA segete sergente rel NA 6 8 4.774292 6 6 ita
212189 189 NONWORD NA pafoci pacifico rel NA 6 8 1.734991274 0 4 ita
222190 190 NONWORD NA birgio livoroso ctrl NA 6 8 1.190923 1 0 ita
222191 191 NONWORD NA prisso urlatore ctrl NA 6 8 2.03602127 3 0 ita
222192 192 NONWORD NA ghiade damigiana ctrl NA 6 9 2.03602127 0 1 ita
212193 193 NONWORD NA beggio beveraggio rel NA 6 10 1.668044485 9 0 ita
222194 194 NONWORD NA tatoli piccionaia ctrl NA 6 10 2.03602127 5 1 ita
222195 195 NONWORD NA mepitro evenienza ctrl NA 7 9 3.020227003 0 2 ita
222196 196 NONWORD NA gibupre veneziana ctrl NA 7 9 2.270104476 0 4 ita
212197 197 NONWORD NA disinti disincanto rel NA 7 10 1.588863239 1 0 ita
222198 198 NONWORD NA nurteli pediatrico ctrl NA 7 10 2.942971678 0 2 ita
222199 199 NONWORD NA tracelgi cannoniere ctrl NA 8 10 2.421372151 0 3 ita
222200 200 NONWORD NA fommicri sproposito ctrl NA 8 10 2.792983221 0 2 ita
222201 201 NONWORD NA vei sutura ctrl NA 3 6 3.304866582 54 7 ita
212202 202 NONWORD NA seto setto rel NA 4 5 2.781987837 39 33 ita
212203 203 NONWORD NA tala taiga rel NA 4 5 2.367014489 37 10 ita
222204 204 NONWORD NA ruca eunuco ctrl NA 4 6 2.972678605 24 0 ita
222205 205 NONWORD NA guio piatto ctrl NA 4 6 4.365419149 17 7 ita
222206 206 NONWORD NA gafo sgarro ctrl NA 4 6 2.19092323 13 5 ita
212207 207 NONWORD NA canu canguro rel NA 4 7 3.083017833 17 2 ita
212208 208 NONWORD NA arzo arazzo rel NA 4 6 2.543106 12 4 ita
212209 209 NONWORD NA laci lacrima rel NA 4 7 3.286092581 25 5 ita
222210 210 NONWORD NA mafu bacillo ctrl NA 4 7 2.065984493 12 6 ita
222211 211 NONWORD NA caba fallace ctrl NA 4 7 2.168646835 37 4 ita
222212 212 NONWORD NA elgi lettiga ctrl NA 4 7 2.469676831 8 1 ita
222213 213 NONWORD NA nalo castigo ctrl NA 4 7 3.0 32 3 ita
222214 214 NONWORD NA ince trincea ctrl NA 4 7 3.330802316 22 2 ita
222215 215 NONWORD NA sevi petrolio ctrl NA 4 8 4.00716453 29 2 ita
212216 216 NONWORD NA pazo paparazzo rel NA 4 9 2.792983221 22 1 ita
212217 217 NONWORD NA monna monaco rel NA 5 6 3.918464487 24 5 ita
212218 218 NONWORD NA tunla tundra rel NA 5 6 2.433961279 1 1 ita
222219 219 NONWORD NA antra abbazia ctrl NA 5 7 2.911082533 16 3 ita
222220 220 NONWORD NA fioga farmaco ctrl NA 5 7 3.818800925 4 4 ita
222221 221 NONWORD NA trefi lituano ctrl NA 5 7 2.337051266 5 4 ita
222222 222 NONWORD NA burta maniaco ctrl NA 5 7 3.884650179 13 3 ita
222223 223 NONWORD NA pignu pittura ctrl NA 5 7 3.580089314 3 5 ita
222224 224 NONWORD NA frago rimessa ctrl NA 5 7 3.586249623 11 6 ita
212225 225 NONWORD NA attio attrezzo rel NA 5 8 3.407089132 9 2 ita
212226 226 NONWORD NA chigo chirurgo rel NA 5 8 4.086345776 7 4 ita
212227 227 NONWORD NA compo compasso rel NA 5 8 2.446195735 18 3 ita
212228 228 NONWORD NA baggo bagaglio rel NA 5 8 3.698104 4 4 ita
222229 229 NONWORD NA inome clausura ctrl NA 5 8 2.304866582 8 1 ita
222230 230 NONWORD NA lasto coniglio ctrl NA 5 8 4.085792887 19 5 ita
222231 231 NONWORD NA putre granchio ctrl NA 5 8 3.607563737 7 2 ita
222232 232 NONWORD NA pasci terrazzo ctrl NA 5 8 3.164051084 11 3 ita
