Trial.ID	Target.ID	Lexicality	Morphtype	Target	Prime	Primetype	Logfreq.Zipf.t	Lent	Lenp	Logfreq.Zipf.p	Nt	Np	Rotation	Language
121001	1	WORD	TR	acre	plunder	ctrl	3,93	4	7	2,99	14	3	A	eng
111001	1	WORD	TR	acre	acreage	rel	3,93	4	7	2,76	14	0	B	eng
121002	2	WORD	TR	agree	equipment	ctrl	5,1	5	9	4,53	3	0	A	eng
111002	2	WORD	TR	agree	agreement	rel	5,1	5	9	4,61	3	0	B	eng
121003	3	WORD	TR	alarm	composer	ctrl	4,27	5	8	4,01	0	3	A	eng
111003	3	WORD	TR	alarm	alarming	rel	4,27	5	8	3,56	0	0	B	eng
121004	4	WORD	TR	angel	watcher	ctrl	4,29	5	7	2,98	8	9	A	eng
111004	4	WORD	TR	angel	angelic	rel	4,29	5	7	2,8	8	1	B	eng
121005	5	WORD	TR	artist	calmness	ctrl	4,71	6	8	2,75	2	0	A	eng
111005	5	WORD	TR	artist	artistry	rel	4,71	6	8	2,89	2	0	B	eng
121006	6	WORD	TR	baron	voucher	ctrl	3,6	5	7	3,19	16	5	A	eng
111006	6	WORD	TR	baron	baronet	rel	3,6	5	7	2,65	16	1	B	eng
121007	7	WORD	TR	cloud	enactment	ctrl	4,77	5	9	2,84	3	0	A	eng
111007	7	WORD	TR	cloud	cloudless	rel	4,77	5	9	2,31	3	0	B	eng
121008	8	WORD	TR	critic	tendency	ctrl	3,68	6	8	3,61	1	0	A	eng
111008	8	WORD	TR	critic	critical	rel	3,68	6	8	4,44	1	0	B	eng
121009	9	WORD	TR	diet	wearily	ctrl	4,26	4	7	1,81	28	1	A	eng
111009	9	WORD	TR	diet	dietary	rel	4,26	4	7	2,77	28	0	B	eng
121010	10	WORD	TR	dream	masonry	ctrl	5	5	7	3,02	5	0	A	eng
111010	10	WORD	TR	dream	dreamer	rel	5	5	7	3,06	5	3	B	eng
121011	11	WORD	TR	drunk	feathery	ctrl	4,46	5	8	2,95	6	3	A	eng
111011	11	WORD	TR	drunk	drunkard	rel	4,46	5	8	2,45	6	0	B	eng
121012	12	WORD	TR	employ	addition	ctrl	3,93	6	8	4,15	0	1	A	eng
