Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
76	23	Female	Right	B	16/09/2017	10:23:54	1	Prova	wellness	well	4	1091	2
76	23	Female	Right	B	16/09/2017	10:23:54	2	Prova	homeless	home	4	581	2
76	23	Female	Right	B	16/09/2017	10:23:54	3	Prova	tricky	tricker	4	1006	2
76	23	Female	Right	B	16/09/2017	10:23:54	4	Prova	character	char	4	1491	1
76	23	Female	Right	B	16/09/2017	10:23:54	5	Prova	translater	pulter	4	853	1
76	23	Female	Right	B	16/09/2017	10:23:54	6	Prova2	escape	exat	4	836	1
76	23	Female	Right	B	16/09/2017	10:23:54	7	Prova2	investigator	invest	4	724	2
76	23	Female	Right	B	16/09/2017	10:23:54	8	Prova2	examiner	exam	4	612	2
76	23	Female	Right	B	16/09/2017	10:23:54	9	Prova2	topic	top	4	680	2
76	23	Female	Right	B	16/09/2017	10:23:54	1	Warmup	unpack	pack	5	605	2
76	23	Female	Right	B	16/09/2017	10:23:54	2	Warmup	tartare	tariff	5	723	1
76	23	Female	Right	B	16/09/2017	10:23:54	3	Warmup	cowrie	sturms	5	774	1
76	23	Female	Right	B	16/09/2017	10:23:54	4	Warmup	cortex	newbie	5	771	1
76	23	Female	Right	B	16/09/2017	10:23:54	5	Warmup	pullma	pulm	5	753	1
76	23	Female	Right	B	16/09/2017	10:23:54	1	TrialPrimaParte	scalding	scald	1	793	2
76	23	Female	Right	B	16/09/2017	10:23:54	2	TrialPrimaParte	friar	blyr	2	641	1
76	23	Female	Right	B	16/09/2017	10:23:54	3	TrialPrimaParte	tributary	calin	2	574	1
76	23	Female	Right	B	16/09/2017	10:23:54	4	TrialPrimaParte	gravel	flixy	2	474	1
76	23	Female	Right	B	16/09/2017	10:23:54	5	TrialPrimaParte	quieten	quiet	1	584	2
76	23	Female	Right	B	16/09/2017	10:23:54	6	TrialPrimaParte	harden	filth	0	443	1
76	23	Female	Right	B	16/09/2017	10:23:54	7	TrialPrimaParte	sensuous	secly	2	727	1
76	23	Female	Right	B	16/09/2017	10:23:54	8	TrialPrimaParte	really	numb	0	821	2
76	23	Female	Right	B	16/09/2017	10:23:54	9	TrialPrimaParte	miller	gloom	0	678	2
76	23	Female	Right	B	16/09/2017	10:23:54	10	TrialPrimaParte	prudish	force	0	539	2
76	23	Female	Right	B	16/09/2017	10:23:54	11	TrialPrimaParte	muffin	mufir	2	596	1
76	23	Female	Right	B	16/09/2017	10:23:54	12	TrialPrimaParte	vivacious	vicis	2	647	1
76	23	Female	Right	B	16/09/2017	10:23:54	13	TrialPrimaParte	chatter	trump	0	599	2
76	23	Female	Right	B	16/09/2017	10:23:54	14	TrialPrimaParte	kinetic	kinse	2	549	1
76	23	Female	Right	B	16/09/2017	10:23:54	15	TrialPrimaParte	angelic	angel	1	376	2
76	23	Female	Right	B	16/09/2017	10:23:54	16	TrialPrimaParte	agreement	agree	1	446	2
76	23	Female	Right	B	16/09/2017	10:23:54	17	TrialPrimaParte	crush	bemp	2	511	1
76	23	Female	Right	B	16/09/2017	10:23:54	18	TrialPrimaParte	highlight	gylpo	2	506	1
76	23	Female	Right	B	16/09/2017	10:23:54	19	TrialPrimaParte	centimetres	censar	2	755	1
76	23	Female	Right	B	16/09/2017	10:23:54	20	TrialPrimaParte	bubble	glef	2	455	1
76	23	Female	Right	B	16/09/2017	10:23:54	21	TrialPrimaParte	discern	disc	1	537	1
76	23	Female	Right	B	16/09/2017	10:23:54	22	TrialPrimaParte	legendary	legend	1	459	2
76	23	Female	Right	B	16/09/2017	10:23:54	23	TrialPrimaParte	repertory	repty	2	576	1
76	23	Female	Right	B	16/09/2017	10:23:54	24	TrialPrimaParte	inherent	inpock	2	693	1
76	23	Female	Right	B	16/09/2017	10:23:54	25	TrialPrimaParte	grouse	gruf	2	509	1
76	23	Female	Right	B	16/09/2017	10:23:54	26	TrialPrimaParte	traffic	trepy	2	579	1
76	23	Female	Right	B	16/09/2017	10:23:54	27	TrialPrimaParte	audition	audit	1	588	1
76	23	Female	Right	B	16/09/2017	10:23:54	28	TrialPrimaParte	weekly	rabbi	0	837	1
76	23	Female	Right	B	16/09/2017	10:23:54	29	TrialPrimaParte	biscuit	bist	2	631	1
76	23	Female	Right	B	16/09/2017	10:23:54	30	TrialPrimaParte	content	conly	2	528	1
76	23	Female	Right	B	16/09/2017	10:23:54	31	TrialPrimaParte	prayer	butt	0	515	1
76	23	Female	Right	B	16/09/2017	10:23:54	32	TrialPrimaParte	passel	turp	2	414	1
76	23	Female	Right	B	16/09/2017	10:23:54	33	TrialPrimaParte	prosecution	leler	2	567	1
76	23	Female	Right	B	16/09/2017	10:23:54	34	TrialPrimaParte	supplant	plosy	2	447	1
76	23	Female	Right	B	16/09/2017	10:23:54	35	TrialPrimaParte	abstract	fewtu	2	507	1
76	23	Female	Right	B	16/09/2017	10:23:54	36	TrialPrimaParte	sandy	iron	0	720	2
76	23	Female	Right	B	16/09/2017	10:23:54	37	TrialPrimaParte	fuselage	fuse	1	528	2
76	23	Female	Right	B	16/09/2017	10:23:54	38	TrialPrimaParte	halogen	haly	2	626	2
76	23	Female	Right	B	16/09/2017	10:23:54	39	TrialPrimaParte	splinter	splint	1	476	1
76	23	Female	Right	B	16/09/2017	10:23:54	40	TrialPrimaParte	syphilis	ruar	2	500	1
76	23	Female	Right	B	16/09/2017	10:23:54	41	TrialPrimaParte	naughty	troll	0	526	2
76	23	Female	Right	B	16/09/2017	10:23:54	42	TrialPrimaParte	against	again	1	437	2
76	23	Female	Right	B	16/09/2017	10:23:54	43	TrialPrimaParte	trashy	rell	2	413	2
76	23	Female	Right	B	16/09/2017	10:23:54	44	TrialPrimaParte	cheaply	twin	0	586	2
76	23	Female	Right	B	16/09/2017	10:23:54	45	TrialPrimaParte	colonel	colon	1	727	2
76	23	Female	Right	B	16/09/2017	10:23:54	46	TrialPrimaParte	northern	north	1	544	2
76	23	Female	Right	B	16/09/2017	10:23:54	47	TrialPrimaParte	teacher	teach	1	386	2
76	23	Female	Right	B	16/09/2017	10:23:54	48	TrialPrimaParte	golden	free	0	406	2
76	23	Female	Right	B	16/09/2017	10:23:54	49	TrialPrimaParte	child	sild	2	403	2
76	23	Female	Right	B	16/09/2017	10:23:54	50	TrialPrimaParte	thorny	marsh	0	529	1
76	23	Female	Right	B	16/09/2017	10:23:54	51	TrialPrimaParte	category	cagre	2	841	1
76	23	Female	Right	B	16/09/2017	10:23:54	52	TrialPrimaParte	abstain	abter	2	790	1
76	23	Female	Right	B	16/09/2017	10:23:54	53	TrialPrimaParte	rebound	cous	2	853	1
76	23	Female	Right	B	16/09/2017	10:23:54	54	TrialPrimaParte	inventory	invent	1	529	2
76	23	Female	Right	B	16/09/2017	10:23:54	55	TrialPrimaParte	ribbon	ribed	2	794	2
76	23	Female	Right	B	16/09/2017	10:23:54	56	TrialPrimaParte	command	comma	1	873	2
76	23	Female	Right	B	16/09/2017	10:23:54	57	TrialPrimaParte	killer	lalf	2	721	1
76	23	Female	Right	B	16/09/2017	10:23:54	58	TrialPrimaParte	stressful	abgaid	2	642	1
76	23	Female	Right	B	16/09/2017	10:23:54	59	TrialPrimaParte	ceramic	cerbs	2	434	1
76	23	Female	Right	B	16/09/2017	10:23:54	60	TrialPrimaParte	scanner	rast	2	610	1
76	23	Female	Right	B	16/09/2017	10:23:54	61	TrialPrimaParte	touchy	fizz	0	578	1
76	23	Female	Right	B	16/09/2017	10:23:54	62	TrialPrimaParte	clanger	spant	2	683	2
76	23	Female	Right	B	16/09/2017	10:23:54	63	TrialPrimaParte	safely	brand	0	591	1
76	23	Female	Right	B	16/09/2017	10:23:54	64	TrialPrimaParte	lethal	lerd	2	686	1
76	23	Female	Right	B	16/09/2017	10:23:54	65	TrialPrimaParte	twelfth	smug	0	1105	1
76	23	Female	Right	B	16/09/2017	10:23:54	66	TrialPrimaParte	ninety	scrap	0	1013	2
76	23	Female	Right	B	16/09/2017	10:23:54	67	TrialPrimaParte	deficit	dety	2	780	1
76	23	Female	Right	B	16/09/2017	10:23:54	68	TrialPrimaParte	plaintiff	plain	1	528	2
76	23	Female	Right	B	16/09/2017	10:23:54	69	TrialPrimaParte	foetal	fongs	2	561	2
76	23	Female	Right	B	16/09/2017	10:23:54	70	TrialPrimaParte	country	count	1	669	2
76	23	Female	Right	B	16/09/2017	10:23:54	71	TrialPrimaParte	coyness	whisk	0	605	1
76	23	Female	Right	B	16/09/2017	10:23:54	72	TrialPrimaParte	liquidate	liquid	1	549	2
76	23	Female	Right	B	16/09/2017	10:23:54	73	TrialPrimaParte	beastly	widow	0	580	2
76	23	Female	Right	B	16/09/2017	10:23:54	74	TrialPrimaParte	analogy	anopy	2	759	1
76	23	Female	Right	B	16/09/2017	10:23:54	75	TrialPrimaParte	angler	treat	0	477	2
