Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
20	25	Male	Right	B	16/11/2016	17:08:25	1	Prova	produce	prode	4	1230568	2
20	25	Male	Right	B	16/11/2016	17:08:25	2	Prova	ricordo	rico	4	1301	1
20	25	Male	Right	B	16/11/2016	17:08:25	3	Prova	ribelle	ribes	4	526	1
20	25	Male	Right	B	16/11/2016	17:08:25	4	Prova	prostata	prosta	4	456	2
20	25	Male	Right	B	16/11/2016	17:08:25	5	Prova	dedotto	potto	4	720	1
20	25	Male	Right	B	16/11/2016	17:08:25	6	Prova2	prelato	lato	4	755	2
20	25	Male	Right	B	16/11/2016	17:08:25	7	Prova2	ripiano	piano	4	437	2
20	25	Male	Right	B	16/11/2016	17:08:25	8	Prova2	prefitto	fitto	4	401	1
20	25	Male	Right	B	16/11/2016	17:08:25	9	Prova2	distratto	abbo	4	472	1
20	25	Male	Right	B	16/11/2016	17:08:25	1	Warmup	rituale	pigiama	5	517	2
20	25	Male	Right	B	16/11/2016	17:08:25	2	Warmup	globale	glole	5	568	1
20	25	Male	Right	B	16/11/2016	17:08:25	3	Warmup	operaio	opera	5	570	2
20	25	Male	Right	B	16/11/2016	17:08:25	4	Warmup	privato	spugo	5	473	1
20	25	Male	Right	B	16/11/2016	17:08:25	5	Warmup	pugnal	pugn	5	495	1
20	25	Male	Right	B	16/11/2016	17:08:25	1	TrialPrimaParte	pastore	ispro	2	536	1
20	25	Male	Right	B	16/11/2016	17:08:25	2	TrialPrimaParte	giuridica	sappeta	2	555	1
20	25	Male	Right	B	16/11/2016	17:08:25	3	TrialPrimaParte	monello	lama	0	466	2
20	25	Male	Right	B	16/11/2016	17:08:25	4	TrialPrimaParte	marinaio	marma	2	537	2
20	25	Male	Right	B	16/11/2016	17:08:25	5	TrialPrimaParte	testamento	testa	1	371	2
20	25	Male	Right	B	16/11/2016	17:08:25	6	TrialPrimaParte	piccionaia	tatoli	2	532	1
20	25	Male	Right	B	16/11/2016	17:08:25	7	TrialPrimaParte	clavicola	clava	1	454	2
20	25	Male	Right	B	16/11/2016	17:08:25	8	TrialPrimaParte	beveraggio	beggio	2	527	1
20	25	Male	Right	B	16/11/2016	17:08:25	9	TrialPrimaParte	acquario	oste	0	508	2
20	25	Male	Right	B	16/11/2016	17:08:25	10	TrialPrimaParte	stalla	guano	0	505	1
20	25	Male	Right	B	16/11/2016	17:08:25	11	TrialPrimaParte	corroso	falco	0	470	2
20	25	Male	Right	B	16/11/2016	17:08:25	12	TrialPrimaParte	violino	retta	0	564	2
20	25	Male	Right	B	16/11/2016	17:08:25	13	TrialPrimaParte	melone	arco	0	453	2
20	25	Male	Right	B	16/11/2016	17:08:25	14	TrialPrimaParte	litorale	orto	0	580	2
20	25	Male	Right	B	16/11/2016	17:08:25	15	TrialPrimaParte	imprudenza	imuza	2	540	1
20	25	Male	Right	B	16/11/2016	17:08:25	16	TrialPrimaParte	cruento	oblio	0	510	2
