Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
65	24	Female	Left	A	11/09/2017	08:58:30	1	Prova	produce	prode	4	1758	2
65	24	Female	Left	A	11/09/2017	08:58:30	2	Prova	ricordo	rico	4	813	1
65	24	Female	Left	A	11/09/2017	08:58:30	3	Prova	ribelle	ribes	4	1025	2
65	24	Female	Left	A	11/09/2017	08:58:30	4	Prova	prostata	prosta	4	1001	1
65	24	Female	Left	A	11/09/2017	08:58:30	5	Prova	dedotto	potto	4	845	1
65	24	Female	Left	A	11/09/2017	08:58:30	6	Prova2	prelato	lato	4	1424	2
65	24	Female	Left	A	11/09/2017	08:58:30	7	Prova2	ripiano	piano	4	555	2
65	24	Female	Left	A	11/09/2017	08:58:30	8	Prova2	prefitto	fitto	4	701	2
65	24	Female	Left	A	11/09/2017	08:58:30	9	Prova2	distratto	abbo	4	721	1
65	24	Female	Left	A	11/09/2017	08:58:30	1	Warmup	rituale	pigiama	5	753	2
65	24	Female	Left	A	11/09/2017	08:58:30	2	Warmup	globale	glole	5	733	1
65	24	Female	Left	A	11/09/2017	08:58:30	3	Warmup	operaio	opera	5	779	2
65	24	Female	Left	A	11/09/2017	08:58:30	4	Warmup	privato	spugo	5	637	1
65	24	Female	Left	A	11/09/2017	08:58:30	5	Warmup	pugnal	pugn	5	774	1
65	24	Female	Left	A	11/09/2017	08:58:30	1	TrialPrimaParte	idilliaco	museo	0	543	2
65	24	Female	Left	A	11/09/2017	08:58:30	2	TrialPrimaParte	plateale	tavolo	0	495	2
65	24	Female	Left	A	11/09/2017	08:58:30	3	TrialPrimaParte	zucchero	ecero	2	597	1
65	24	Female	Left	A	11/09/2017	08:58:30	4	TrialPrimaParte	carotaggio	delfino	0	533	2
65	24	Female	Left	A	11/09/2017	08:58:30	5	TrialPrimaParte	frittata	tasto	0	549	2
65	24	Female	Left	A	11/09/2017	08:58:30	6	TrialPrimaParte	piatto	guio	2	595	1
65	24	Female	Left	A	11/09/2017	08:58:30	7	TrialPrimaParte	opinione	viola	0	576	2
65	24	Female	Left	A	11/09/2017	08:58:30	8	TrialPrimaParte	cortile	girto	2	553	1
65	24	Female	Left	A	11/09/2017	08:58:30	9	TrialPrimaParte	velcro	vela	1	564	2
65	24	Female	Left	A	11/09/2017	08:58:30	10	TrialPrimaParte	pittura	pignu	2	536	1
65	24	Female	Left	A	11/09/2017	08:58:30	11	TrialPrimaParte	amaranto	aranto	2	823	1
65	24	Female	Left	A	11/09/2017	08:58:30	12	TrialPrimaParte	convento	banda	0	526	2
65	24	Female	Left	A	11/09/2017	08:58:30	13	TrialPrimaParte	finalista	finava	2	610	1
65	24	Female	Left	A	11/09/2017	08:58:30	14	TrialPrimaParte	sostegno	trama	0	551	2
65	24	Female	Left	A	11/09/2017	08:58:30	15	TrialPrimaParte	simpatico	forma	0	497	2
65	24	Female	Left	A	11/09/2017	08:58:30	16	TrialPrimaParte	rapido	sapi	2	605	1
65	24	Female	Left	A	11/09/2017	08:58:30	17	TrialPrimaParte	pianeta	piano	1	443	2
65	24	Female	Left	A	11/09/2017	08:58:30	18	TrialPrimaParte	stivale	stiva	1	486	2
65	24	Female	Left	A	11/09/2017	08:58:30	19	TrialPrimaParte	reticolo	relo	2	785	1
65	24	Female	Left	A	11/09/2017	08:58:30	20	TrialPrimaParte	amoroso	pammo	2	630	1
65	24	Female	Left	A	11/09/2017	08:58:30	21	TrialPrimaParte	cartella	cartra	2	637	1
65	24	Female	Left	A	11/09/2017	08:58:30	22	TrialPrimaParte	colorito	colsoto	2	544	1
65	24	Female	Left	A	11/09/2017	08:58:30	23	TrialPrimaParte	arazzo	arzo	2	496	1
65	24	Female	Left	A	11/09/2017	08:58:30	24	TrialPrimaParte	nasale	nale	2	623	1
65	24	Female	Left	A	11/09/2017	08:58:30	25	TrialPrimaParte	altezza	alteo	2	600	1
65	24	Female	Left	A	11/09/2017	08:58:30	26	TrialPrimaParte	proiettile	prote	2	672	1
65	24	Female	Left	A	11/09/2017	08:58:30	27	TrialPrimaParte	veliero	vello	1	625	1
65	24	Female	Left	A	11/09/2017	08:58:30	28	TrialPrimaParte	paniere	pana	2	622	1
65	24	Female	Left	A	11/09/2017	08:58:30	29	TrialPrimaParte	lebbroso	calvo	0	647	2
65	24	Female	Left	A	11/09/2017	08:58:30	30	TrialPrimaParte	minerario	benda	0	654	2
65	24	Female	Left	A	11/09/2017	08:58:30	31	TrialPrimaParte	salmonella	passero	0	653	2
65	24	Female	Left	A	11/09/2017	08:58:30	32	TrialPrimaParte	veneziana	gibupre	2	893	1
65	24	Female	Left	A	11/09/2017	08:58:30	33	TrialPrimaParte	ausilio	auliso	2	890	1
65	24	Female	Left	A	11/09/2017	08:58:30	34	TrialPrimaParte	cespuglio	barra	0	585	2
65	24	Female	Left	A	11/09/2017	08:58:30	35	TrialPrimaParte	demoniaco	mandria	0	691	2
65	24	Female	Left	A	11/09/2017	08:58:30	36	TrialPrimaParte	sanitario	sano	1	593	2
65	24	Female	Left	A	11/09/2017	08:58:30	37	TrialPrimaParte	avorio	avo	1	563	2
65	24	Female	Left	A	11/09/2017	08:58:30	38	TrialPrimaParte	schiave	mitte	2	744	1
65	24	Female	Left	A	11/09/2017	08:58:30	39	TrialPrimaParte	scambista	gettone	0	564	2
65	24	Female	Left	A	11/09/2017	08:58:30	40	TrialPrimaParte	mimosa	mimo	1	909	2
65	24	Female	Left	A	11/09/2017	08:58:30	41	TrialPrimaParte	mammalucco	mammupo	2	595	1
65	24	Female	Left	A	11/09/2017	08:58:30	42	TrialPrimaParte	abbazia	antra	2	554	1
65	24	Female	Left	A	11/09/2017	08:58:30	43	TrialPrimaParte	conato	cono	1	713	2
65	24	Female	Left	A	11/09/2017	08:58:30	44	TrialPrimaParte	doloso	doso	2	705	1
65	24	Female	Left	A	11/09/2017	08:58:30	45	TrialPrimaParte	badare	gade	2	573	1
65	24	Female	Left	A	11/09/2017	08:58:30	46	TrialPrimaParte	usabile	piame	2	565	1
65	24	Female	Left	A	11/09/2017	08:58:30	47	TrialPrimaParte	castagno	merce	0	642	2
65	24	Female	Left	A	11/09/2017	08:58:30	48	TrialPrimaParte	ossequio	scampo	0	776	2
65	24	Female	Left	A	11/09/2017	08:58:30	49	TrialPrimaParte	albino	alni	2	530	1
65	24	Female	Left	A	11/09/2017	08:58:30	50	TrialPrimaParte	clausura	inome	2	517	1
65	24	Female	Left	A	11/09/2017	08:58:30	51	TrialPrimaParte	rettile	retta	1	585	2
65	24	Female	Left	A	11/09/2017	08:58:30	52	TrialPrimaParte	sutura	vei	2	569	1
65	24	Female	Left	A	11/09/2017	08:58:30	53	TrialPrimaParte	serpente	sepre	2	664	1
65	24	Female	Left	A	11/09/2017	08:58:30	54	TrialPrimaParte	chirurgo	chigo	2	632	1
65	24	Female	Left	A	11/09/2017	08:58:30	55	TrialPrimaParte	corpuscolo	lopesta	2	603	1
