Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
34	23	Male	Right	B	30/11/2016	16:20:56	1	Prova	wellness	well	4	568	2
34	23	Male	Right	B	30/11/2016	16:20:56	2	Prova	homeless	home	4	385	2
34	23	Male	Right	B	30/11/2016	16:20:56	3	Prova	tricky	tricker	4	707	1
34	23	Male	Right	B	30/11/2016	16:20:56	4	Prova	character	char	4	622	1
34	23	Male	Right	B	30/11/2016	16:20:56	5	Prova	translater	pulter	4	532	1
34	23	Male	Right	B	30/11/2016	16:20:56	6	Prova2	escape	exat	4	533	1
34	23	Male	Right	B	30/11/2016	16:20:56	7	Prova2	investigator	invest	4	523	2
34	23	Male	Right	B	30/11/2016	16:20:56	8	Prova2	examiner	exam	4	432	2
34	23	Male	Right	B	30/11/2016	16:20:56	9	Prova2	topic	top	4	437	2
34	23	Male	Right	B	30/11/2016	16:20:56	1	Warmup	unpack	pack	5	510	2
34	23	Male	Right	B	30/11/2016	16:20:56	2	Warmup	tartare	tariff	5	575	1
34	23	Male	Right	B	30/11/2016	16:20:56	3	Warmup	cowrie	sturms	5	712	1
34	23	Male	Right	B	30/11/2016	16:20:56	4	Warmup	cortex	newbie	5	609	2
34	23	Male	Right	B	30/11/2016	16:20:56	5	Warmup	pullma	pulm	5	648	1
34	23	Male	Right	B	30/11/2016	16:20:56	1	TrialPrimaParte	polite	tind	2	555	1
34	23	Male	Right	B	30/11/2016	16:20:56	2	TrialPrimaParte	grueling	gruel	1	580	2
34	23	Male	Right	B	30/11/2016	16:20:56	3	TrialPrimaParte	against	again	1	458	2
34	23	Male	Right	B	30/11/2016	16:20:56	4	TrialPrimaParte	merrier	merks	2	644	1
34	23	Male	Right	B	30/11/2016	16:20:56	5	TrialPrimaParte	surgeon	surge	1	530	2
34	23	Male	Right	B	30/11/2016	16:20:56	6	TrialPrimaParte	paternal	siter	2	532	1
34	23	Male	Right	B	30/11/2016	16:20:56	7	TrialPrimaParte	fruitless	fruit	1	445	2
34	23	Male	Right	B	30/11/2016	16:20:56	8	TrialPrimaParte	difference	difrol	2	458	1
34	23	Male	Right	B	30/11/2016	16:20:56	9	TrialPrimaParte	centimetres	censar	2	660	1
34	23	Male	Right	B	30/11/2016	16:20:56	10	TrialPrimaParte	keeper	gala	0	910	1
34	23	Male	Right	B	30/11/2016	16:20:56	11	TrialPrimaParte	message	rosty	2	719	1
34	23	Male	Right	B	30/11/2016	16:20:56	12	TrialPrimaParte	fishy	putt	0	756	1
34	23	Male	Right	B	30/11/2016	16:20:56	13	TrialPrimaParte	itchy	shun	0	861	2
34	23	Male	Right	B	30/11/2016	16:20:56	14	TrialPrimaParte	finely	chill	0	603	2
34	23	Male	Right	B	30/11/2016	16:20:56	15	TrialPrimaParte	moulder	moure	2	452	1
34	23	Male	Right	B	30/11/2016	16:20:56	16	TrialPrimaParte	really	numb	0	479	2
34	23	Male	Right	B	30/11/2016	16:20:56	17	TrialPrimaParte	factual	board	0	578	2
34	23	Male	Right	B	30/11/2016	16:20:56	18	TrialPrimaParte	cookery	train	0	396	2
34	23	Male	Right	B	30/11/2016	16:20:56	19	TrialPrimaParte	killer	lalf	2	477	1
34	23	Male	Right	B	30/11/2016	16:20:56	20	TrialPrimaParte	artistry	artist	1	454	2
34	23	Male	Right	B	30/11/2016	16:20:56	21	TrialPrimaParte	crummy	meye	2	405	1
