Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
20	25	Male	Right	B	16/11/2016	17:29:07	1	Prova	wellness	well	4	116729	2
20	25	Male	Right	B	16/11/2016	17:29:07	2	Prova	homeless	home	4	408	2
20	25	Male	Right	B	16/11/2016	17:29:07	3	Prova	tricky	tricker	4	604	2
20	25	Male	Right	B	16/11/2016	17:29:07	4	Prova	character	char	4	332	1
20	25	Male	Right	B	16/11/2016	17:29:07	5	Prova	translater	pulter	4	518	1
20	25	Male	Right	B	16/11/2016	17:29:07	6	Prova2	escape	exat	4	1110	1
20	25	Male	Right	B	16/11/2016	17:29:07	7	Prova2	investigator	invest	4	643	2
20	25	Male	Right	B	16/11/2016	17:29:07	8	Prova2	examiner	exam	4	402	2
20	25	Male	Right	B	16/11/2016	17:29:07	9	Prova2	topic	top	4	472	2
20	25	Male	Right	B	16/11/2016	17:29:07	1	Warmup	unpack	pack	5	473	2
20	25	Male	Right	B	16/11/2016	17:29:07	2	Warmup	tartare	tariff	5	589	1
20	25	Male	Right	B	16/11/2016	17:29:07	3	Warmup	cowrie	sturms	5	523	1
20	25	Male	Right	B	16/11/2016	17:29:07	4	Warmup	cortex	newbie	5	696	2
20	25	Male	Right	B	16/11/2016	17:29:07	5	Warmup	pullma	pulm	5	501	2
20	25	Male	Right	B	16/11/2016	17:29:07	1	TrialPrimaParte	brutal	helm	0	540	2
20	25	Male	Right	B	16/11/2016	17:29:07	2	TrialPrimaParte	employer	employ	1	465	2
20	25	Male	Right	B	16/11/2016	17:29:07	3	TrialPrimaParte	genetic	genth	2	482	1
20	25	Male	Right	B	16/11/2016	17:29:07	4	TrialPrimaParte	sensuous	secly	2	446	1
20	25	Male	Right	B	16/11/2016	17:29:07	5	TrialPrimaParte	manly	weir	0	121	1
20	25	Male	Right	B	16/11/2016	17:29:07	6	TrialPrimaParte	oxygenate	oxygen	1	701	2
20	25	Male	Right	B	16/11/2016	17:29:07	7	TrialPrimaParte	downs	risk	0	833	2
20	25	Male	Right	B	16/11/2016	17:29:07	8	TrialPrimaParte	graphic	blamp	2	471	1
20	25	Male	Right	B	16/11/2016	17:29:07	9	TrialPrimaParte	manual	mals	2	448	1
20	25	Male	Right	B	16/11/2016	17:29:07	10	TrialPrimaParte	renewable	renew	1	546	1
20	25	Male	Right	B	16/11/2016	17:29:07	11	TrialPrimaParte	neighbour	neigh	1	587	2
20	25	Male	Right	B	16/11/2016	17:29:07	12	TrialPrimaParte	colonel	colon	1	441	2
20	25	Male	Right	B	16/11/2016	17:29:07	13	TrialPrimaParte	scanner	rast	2	860	1
20	25	Male	Right	B	16/11/2016	17:29:07	14	TrialPrimaParte	tract	trep	2	665	1
20	25	Male	Right	B	16/11/2016	17:29:07	15	TrialPrimaParte	facetious	facet	1	659	2
20	25	Male	Right	B	16/11/2016	17:29:07	16	TrialPrimaParte	veteran	venic	2	742	1
