Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	Target	Relatedness	rt	Resp
35	26	Male	Right	A	29/11/2016	15:11:32	1	Prova	produce	prode	4	624	1
35	26	Male	Right	A	29/11/2016	15:11:32	2	Prova	ricordo	rico	4	684	1
35	26	Male	Right	A	29/11/2016	15:11:32	3	Prova	ribelle	ribes	4	830	2
35	26	Male	Right	A	29/11/2016	15:11:32	4	Prova	prostata	prosta	4	736	1
35	26	Male	Right	A	29/11/2016	15:11:32	5	Prova	dedotto	potto	4	633	1
35	26	Male	Right	A	29/11/2016	15:11:32	6	Prova2	prelato	lato	4	1025	2
35	26	Male	Right	A	29/11/2016	15:11:32	7	Prova2	ripiano	piano	4	500	2
35	26	Male	Right	A	29/11/2016	15:11:32	8	Prova2	prefitto	fitto	4	659	2
35	26	Male	Right	A	29/11/2016	15:11:32	9	Prova2	distratto	abbo	4	643	1
35	26	Male	Right	A	29/11/2016	15:11:32	1	Warmup	rituale	pigiama	5	540	2
35	26	Male	Right	A	29/11/2016	15:11:32	2	Warmup	globale	glole	5	555	1
35	26	Male	Right	A	29/11/2016	15:11:32	3	Warmup	operaio	opera	5	598	2
35	26	Male	Right	A	29/11/2016	15:11:32	4	Warmup	privato	spugo	5	672	2
35	26	Male	Right	A	29/11/2016	15:11:32	5	Warmup	pugnal	pugn	5	457	1
35	26	Male	Right	A	29/11/2016	15:11:32	1	TrialPrimaParte	fertile	crema	0	448	2
35	26	Male	Right	A	29/11/2016	15:11:32	2	TrialPrimaParte	beveraggio	beggio	2	596	2
35	26	Male	Right	A	29/11/2016	15:11:32	3	TrialPrimaParte	fornaio	forno	1	566	2
35	26	Male	Right	A	29/11/2016	15:11:32	4	TrialPrimaParte	tribuna	tribu'	1	573	2
35	26	Male	Right	A	29/11/2016	15:11:32	5	TrialPrimaParte	cascata	fasso	2	566	1
35	26	Male	Right	A	29/11/2016	15:11:32	6	TrialPrimaParte	sommario	zimle	2	488	1
35	26	Male	Right	A	29/11/2016	15:11:32	7	TrialPrimaParte	randagio	ranfio	2	469	1
35	26	Male	Right	A	29/11/2016	15:11:32	8	TrialPrimaParte	mattinata	manza	2	643	1
35	26	Male	Right	A	29/11/2016	15:11:32	9	TrialPrimaParte	fallace	caba	2	464	1
35	26	Male	Right	A	29/11/2016	15:11:32	10	TrialPrimaParte	lituano	trefi	2	402	1
35	26	Male	Right	A	29/11/2016	15:11:32	11	TrialPrimaParte	piazzista	piaca	2	479	1
35	26	Male	Right	A	29/11/2016	15:11:32	12	TrialPrimaParte	fossile	fosso	1	474	2
35	26	Male	Right	A	29/11/2016	15:11:32	13	TrialPrimaParte	dolomiti	sasta	2	418	1
35	26	Male	Right	A	29/11/2016	15:11:32	14	TrialPrimaParte	scagnozzo	scazo	2	431	1
35	26	Male	Right	A	29/11/2016	15:11:32	15	TrialPrimaParte	serpente	sepre	2	472	1
35	26	Male	Right	A	29/11/2016	15:11:32	16	TrialPrimaParte	vinile	vino	1	496	2
35	26	Male	Right	A	29/11/2016	15:11:32	17	TrialPrimaParte	setoso	seso	2	484	1
35	26	Male	Right	A	29/11/2016	15:11:32	18	TrialPrimaParte	imprudenza	imuza	2	463	1
35	26	Male	Right	A	29/11/2016	15:11:32	19	TrialPrimaParte	ghiandola	fepo	2	409	1
35	26	Male	Right	A	29/11/2016	15:11:32	20	TrialPrimaParte	compresso	traso	2	403	1
35	26	Male	Right	A	29/11/2016	15:11:32	21	TrialPrimaParte	malato	mato	2	523	1
35	26	Male	Right	A	29/11/2016	15:11:32	22	TrialPrimaParte	lebbroso	calvo	0	650	2
35	26	Male	Right	A	29/11/2016	15:11:32	23	TrialPrimaParte	lupara	lupo	1	468	2
35	26	Male	Right	A	29/11/2016	15:11:32	24	TrialPrimaParte	farmaco	fioga	2	454	1
35	26	Male	Right	A	29/11/2016	15:11:32	25	TrialPrimaParte	ridicola	guado	0	672	1
35	26	Male	Right	A	29/11/2016	15:11:32	26	TrialPrimaParte	obsoleta	congruo	0	521	1
35	26	Male	Right	A	29/11/2016	15:11:32	27	TrialPrimaParte	cantiere	cantio	2	617	2
35	26	Male	Right	A	29/11/2016	15:11:32	28	TrialPrimaParte	taiga	tala	2	569	1
35	26	Male	Right	A	29/11/2016	15:11:32	29	TrialPrimaParte	spinaci	spina	1	649	2
35	26	Male	Right	A	29/11/2016	15:11:32	30	TrialPrimaParte	sedimento	ballo	0	560	2
35	26	Male	Right	A	29/11/2016	15:11:32	31	TrialPrimaParte	lucertola	luce	1	480	2
35	26	Male	Right	A	29/11/2016	15:11:32	32	TrialPrimaParte	realmente	reane	2	580	1
