Subject	Age	Gender	Handedness	Rotation	Data	OraStart	TrialCount	TrialType	Prime	target	Relatedness	rt	Resp
84	23	Female	Right	A	16/09/2017	12:50:11	1	Prova	wellness	well	4	720	2
84	23	Female	Right	A	16/09/2017	12:50:11	2	Prova	homeless	home	4	476	2
84	23	Female	Right	A	16/09/2017	12:50:11	3	Prova	tricky	tricker	4	697	2
84	23	Female	Right	A	16/09/2017	12:50:11	4	Prova	character	char	4	696	1
84	23	Female	Right	A	16/09/2017	12:50:11	5	Prova	translater	pulter	4	627	1
84	23	Female	Right	A	16/09/2017	12:50:11	6	Prova2	escape	exat	4	1323	1
84	23	Female	Right	A	16/09/2017	12:50:11	7	Prova2	investigator	invest	4	801	2
84	23	Female	Right	A	16/09/2017	12:50:11	8	Prova2	examiner	exam	4	910	1
84	23	Female	Right	A	16/09/2017	12:50:11	9	Prova2	topic	top	4	487	2
84	23	Female	Right	A	16/09/2017	12:50:11	1	Warmup	unpack	pack	5	599	2
84	23	Female	Right	A	16/09/2017	12:50:11	2	Warmup	tartare	tariff	5	601	1
84	23	Female	Right	A	16/09/2017	12:50:11	3	Warmup	cowrie	sturms	5	619	1
84	23	Female	Right	A	16/09/2017	12:50:11	4	Warmup	cortex	newbie	5	879	1
84	23	Female	Right	A	16/09/2017	12:50:11	5	Warmup	pullma	pulm	5	767	1
84	23	Female	Right	A	16/09/2017	12:50:11	1	TrialPrimaParte	education	educon	2	794	1
84	23	Female	Right	A	16/09/2017	12:50:11	2	TrialPrimaParte	power	mord	2	794	1
84	23	Female	Right	A	16/09/2017	12:50:11	3	TrialPrimaParte	centimetres	censar	2	778	1
84	23	Female	Right	A	16/09/2017	12:50:11	4	TrialPrimaParte	mosaic	mip	2	729	1
84	23	Female	Right	A	16/09/2017	12:50:11	5	TrialPrimaParte	agreement	agree	1	616	2
84	23	Female	Right	A	16/09/2017	12:50:11	6	TrialPrimaParte	twelfth	smug	0	734	1
84	23	Female	Right	A	16/09/2017	12:50:11	7	TrialPrimaParte	bourbon	boun	2	685	1
84	23	Female	Right	A	16/09/2017	12:50:11	8	TrialPrimaParte	passel	turp	2	705	1
84	23	Female	Right	A	16/09/2017	12:50:11	9	TrialPrimaParte	silken	tuft	0	764	1
84	23	Female	Right	A	16/09/2017	12:50:11	10	TrialPrimaParte	cuffs	glad	0	537	2
84	23	Female	Right	A	16/09/2017	12:50:11	11	TrialPrimaParte	syphilis	ruar	2	572	1
84	23	Female	Right	A	16/09/2017	12:50:11	12	TrialPrimaParte	hydration	povic	2	554	1
84	23	Female	Right	A	16/09/2017	12:50:11	13	TrialPrimaParte	kingdom	adopt	0	560	2
84	23	Female	Right	A	16/09/2017	12:50:11	14	TrialPrimaParte	extract	extra	1	650	2
84	23	Female	Right	A	16/09/2017	12:50:11	15	TrialPrimaParte	lesser	twit	0	622	2
84	23	Female	Right	A	16/09/2017	12:50:11	16	TrialPrimaParte	moulder	moure	2	516	1
84	23	Female	Right	A	16/09/2017	12:50:11	17	TrialPrimaParte	sovereign	sovign	2	654	1
84	23	Female	Right	A	16/09/2017	12:50:11	18	TrialPrimaParte	trashy	rell	2	651	1
84	23	Female	Right	A	16/09/2017	12:50:11	19	TrialPrimaParte	crummy	meye	2	632	1
